film_title,year,genre,runtime_mins,avg_rating,num_ratings,num_reviews,country,language,letterboxd_url,date_scraped
Jojo Rabbit,2019,War|Comedy|Drama,108,4.04,2204982,252313,New Zealand|USA,English|English|German,https://letterboxd.com/film/jojo-rabbit/,2026-05-04
Hamnet,2025,History|Drama|Romance,125,4.19,1490383,657168,UK|USA,English,https://letterboxd.com/film/hamnet/,2026-05-04
Soul,2020,Music|Drama|Family|Animation|Fantasy,101,3.94,2367451,266444,USA,English,https://letterboxd.com/film/soul-2020/,2026-05-04
Requiem for a Dream,2000,Drama|Crime,102,4.1,1617033,307746,USA,English,https://letterboxd.com/film/requiem-for-a-dream/,2026-05-04
Drive,2011,Thriller|Drama|Crime,100,3.91,1883887,266495,USA,English,https://letterboxd.com/film/drive-2011/,2026-05-04
Twilight,2008,Drama|Fantasy|Romance,122,3.08,2177773,542629,UK|USA,English,https://letterboxd.com/film/twilight-2008/,2026-05-04
F1,2025,Drama|Action,156,3.64,1845677,630432,USA,English|Danish|English|German|Spanish,https://letterboxd.com/film/f1/,2026-05-04
The Holdovers,2023,Drama|Comedy,133,4.25,1565975,556034,USA,English,https://letterboxd.com/film/the-holdovers/,2026-05-04
Top Gun: Maverick,2022,Action|Drama,131,3.97,2167679,395755,USA,English,https://letterboxd.com/film/top-gun-maverick/,2026-05-04
Don’t Look Up,2021,Drama|Science Fiction|Comedy,138,3.03,2407982,290472,USA,English,https://letterboxd.com/film/dont-look-up-2021/,2026-05-04
Before Sunrise,1995,Romance|Drama,101,4.3,1433354,410386,Austria|USA,English|English|German|French,https://letterboxd.com/film/before-sunrise/,2026-05-04
Beautiful Boy,2018,Drama,121,4.06,1616499,396388,USA,English,https://letterboxd.com/film/beautiful-boy-2018/,2026-05-04
Brokeback Mountain,2005,Drama|Romance,134,4.16,1517917,405541,Canada|USA,English,https://letterboxd.com/film/brokeback-mountain/,2026-05-04
The Breakfast Club,1985,Drama|Comedy,98,3.76,1936451,210740,USA,English,https://letterboxd.com/film/the-breakfast-club/,2026-05-04
Gladiator,2000,Action|Adventure|Drama,155,4.18,2075692,271573,UK|USA,English,https://letterboxd.com/film/gladiator-2000/,2026-05-04
Interstellar,2014,Science Fiction|Drama|Adventure,169,4.44,5612979,882941,UK|USA,English,https://letterboxd.com/film/interstellar/,2026-05-04
Parasite,2019,Thriller|Comedy|Drama,133,4.53,5317372,699676,South Korea,Korean|English|German|Korean,https://letterboxd.com/film/parasite-2019/,2026-05-04
Fight Club,1999,Drama|Thriller,139,4.27,5327860,722448,Germany|USA,English,https://letterboxd.com/film/fight-club/,2026-05-04
La La Land,2016,Drama|Comedy|Romance,129,4.12,4638044,993198,USA,English,https://letterboxd.com/film/la-la-land/,2026-05-04
Whiplash,2014,Drama|Music|Thriller,107,4.42,4313601,756259,USA,English,https://letterboxd.com/film/whiplash-2014/,2026-05-04
The Truman Show,1998,Comedy|Drama,103,4.22,4634685,511020,USA,English|Japanese|English|Italian|Spanish,https://letterboxd.com/film/the-truman-show/,2026-05-04
Dead Poets Society,1989,Drama,129,4.35,3539374,777188,USA,English|English|Latin,https://letterboxd.com/film/dead-poets-society/,2026-05-04
Oppenheimer,2023,Drama|History,181,4.16,4173940,815481,UK|USA,English|Dutch|English,https://letterboxd.com/film/oppenheimer-2023/,2026-05-04
Eternal Sunshine of the Spotless Mind,2004,Science Fiction|Romance|Drama,108,4.24,3458103,695200,USA,English,https://letterboxd.com/film/eternal-sunshine-of-the-spotless-mind/,2026-05-04
10 Things I Hate About You,1999,Comedy|Drama|Romance,97,4.05,3823425,715729,USA,English|English|French,https://letterboxd.com/film/10-things-i-hate-about-you/,2026-05-04
Joker,2019,Drama|Thriller|Crime,122,3.84,4532721,353383,Canada|USA,English,https://letterboxd.com/film/joker-2019/,2026-05-04
Midsommar,2019,Mystery|Drama|Horror,147,3.75,3673328,569259,Sweden|USA,English|English|Swedish,https://letterboxd.com/film/midsommar/,2026-05-04
American Psycho,2000,Crime|Drama|Thriller|Horror,102,3.77,3740828,543916,Canada|USA,English|English|Spanish|Cantonese,https://letterboxd.com/film/american-psycho/,2026-05-04
The Wolf of Wall Street,2013,Comedy|Drama|Crime,180,4.0,3928348,341506,USA,English|English|French,https://letterboxd.com/film/the-wolf-of-wall-street/,2026-05-04
Forrest Gump,1994,Drama|Romance|Comedy,142,4.18,3830840,302696,USA,English,https://letterboxd.com/film/forrest-gump/,2026-05-04
The Grand Budapest Hotel,2014,Comedy|Drama,100,4.24,3102743,460192,USA|Germany,English|English|French,https://letterboxd.com/film/the-grand-budapest-hotel/,2026-05-04
Good Will Hunting,1997,Drama,127,4.38,3169161,502650,USA,English,https://letterboxd.com/film/good-will-hunting/,2026-05-04
Black Swan,2010,Drama|Thriller|Horror,108,4.17,3051516,513535,USA,English|English|French|Italian,https://letterboxd.com/film/black-swan/,2026-05-04
Marty Supreme,2025,Thriller|Drama,150,4.08,2608742,1142566,USA,English|English|Japanese,https://letterboxd.com/film/marty-supreme/,2026-05-04
