slug,title,year,runtime_mins,genres,countries,languages,avg_rating,num_ratings,num_reviews,directors,cast,themes,letterboxd_url,date_scraped,lists,num_lists_appeared_in
the-burbs,Letterboxd — Your life in film,,102,,USA,English,,,,,,"Crude humor and satire|Gags, jokes, and slapstick humor|Spooky, scary comedy|Funny jokes and crude humor|Amusing jokes and witty satire|Kids' animated fun and adventure",https://letterboxd.com/film/the-burbs/,2026-05-03T15:31:51+00:00,ultimate_comfort,1
10-things-i-hate-about-you,Letterboxd — Your life in film,,97,,USA,English|French,,,,,,Underdogs and coming of age|Relationship comedy|Crude humor and satire|Teen school antics and laughter|Laugh-out-loud relationship entanglements|Funny jokes and crude humor|Charming romances and delightful chemistry|Catchy songs and hilarious musical comedy,https://letterboxd.com/film/10-things-i-hate-about-you/,2026-05-03T15:31:53+00:00,comfort_izzy|ultimate_comfort,2
12-angry-men,Letterboxd — Your life in film,,97,,USA,English,,,,,,"Humanity and the world around us|Gripping, intense violent crime|Suspenseful crime thrillers|Intense political and terrorist thrillers",https://letterboxd.com/film/12-angry-men/,2026-05-03T15:31:55+00:00,ultimate_comfort,1
13-going-on-30-3,Letterboxd — Your life in film,,98,,USA,English,,,,,,Relationship comedy|Underdogs and coming of age|Crude humor and satire|Laugh-out-loud relationship entanglements|Teen school antics and laughter|Charming romances and delightful chemistry|Holiday joy and heartwarming Christmas|Dance rhythms and catchy tunes,https://letterboxd.com/film/13-going-on-30-3/,2026-05-03T15:31:57+00:00,comfort_izzy|heartwarming|ultimate_comfort,3
50-first-dates,Letterboxd — Your life in film,,99,,USA,English,,,,,,"Relationship comedy|Crude humor and satire|Moving relationship stories|Laugh-out-loud relationship entanglements|Funny jokes and crude humor|Gags, jokes, and slapstick humor|Quirky and endearing relationships|Charming romances and delightful chemistry",https://letterboxd.com/film/50-first-dates/,2026-05-03T15:31:59+00:00,heartwarming|ultimate_comfort,2
bud-abbott-and-lou-costello-meet-frankenstein,Letterboxd — Your life in film,,83,,USA,English,,,,,,"Crude humor and satire|Horror, the undead and monster classics|Spooky, scary comedy|Gags, jokes, and slapstick humor|Chilling experiments and classic monster horror|Creepy, chilling, and terrifying horror|Amusing jokes and witty satire",https://letterboxd.com/film/bud-abbott-and-lou-costello-meet-frankenstein/,2026-05-03T15:32:02+00:00,ultimate_comfort,1
about-time,Letterboxd — Your life in film,,123,,UK|USA,English,,,,,,Relationship comedy|Moving relationship stories|Heartfelt and sentimental family stories|Charming romances and delightful chemistry|Quirky and endearing relationships|Laugh-out-loud relationship entanglements|Emotional and heartfelt family dramas,https://letterboxd.com/film/about-time/,2026-05-03T15:32:04+00:00,comfort_izzy|heartwarming|ultimate_comfort,3
across-the-universe,Letterboxd — Your life in film,,133,,USA,English,,,,,,Song and dance|Humanity and the world around us|Legendary musicians and stardom|Dazzling vocal performances and musicals|Emotional life of renowned artists|Captivating relationships and charming romance|Emotional and captivating fantasy storytelling,https://letterboxd.com/film/across-the-universe/,2026-05-03T15:32:06+00:00,ultimate_comfort,1
the-adventures-of-priscilla-queen-of-the-desert,Letterboxd — Your life in film,,103,,Australia|USA,English,,,,,,"Crude humor and satire|Song and dance|Gags, jokes, and slapstick humor|Catchy songs and hilarious musical comedy|Emotional LGBTQ relationships|Quirky and endearing relationships|Funny jokes and crude humor",https://letterboxd.com/film/the-adventures-of-priscilla-queen-of-the-desert/,2026-05-03T15:32:08+00:00,ultimate_comfort,1
after-the-thin-man,Letterboxd — Your life in film,,112,,USA,English,,,,,,"Thrillers and murder mysteries|Crude humor and satire|Intriguing and suspenseful murder mysteries|Gags, jokes, and slapstick humor|Suspenseful crime thrillers|Noir and dark crime dramas|Catchy songs and hilarious musical comedy",https://letterboxd.com/film/after-the-thin-man/,2026-05-03T15:32:10+00:00,ultimate_comfort,1
airplane,Letterboxd — Your life in film,,88,,USA,English,,,,,,"Crude humor and satire|Gags, jokes, and slapstick humor|Funny jokes and crude humor|Amusing jokes and witty satire|Spooky, scary comedy|Catchy songs and hilarious musical comedy",https://letterboxd.com/film/airplane/,2026-05-03T15:32:12+00:00,ultimate_comfort,1
akira,Letterboxd — Your life in film,,124,,Japan,Japanese,,,,,,Humanity and the world around us|Thought-provoking sci-fi action and future technology|Dangerous technology and the apocalypse|Superheroes in action-packed battles with villains|Challenging or sexual themes & twists|Emotional and captivating fantasy storytelling,https://letterboxd.com/film/akira/,2026-05-03T15:32:14+00:00,ultimate_comfort,1
aladdin,Letterboxd — Your life in film,,91,,USA,English,,,,,,Song and dance|Crude humor and satire|Fairy-tale fantasy and enchanted magic|Kids' animated fun and adventure|Dazzling vocal performances and musicals|Catchy songs and hilarious musical comedy|Holiday joy and heartwarming Christmas,https://letterboxd.com/film/aladdin/,2026-05-03T15:32:16+00:00,ultimate_comfort,1
alien,Letterboxd — Your life in film,,117,,USA|UK,English|Spanish,,,,,,"Monsters, aliens, sci-fi and the apocalypse|Horror, the undead and monster classics|Sci-fi horror, creatures, and aliens|Terrifying, haunted, and supernatural horror|Creepy, chilling, and terrifying horror|Imaginative space odysseys and alien encounters|Action-packed space and alien sagas",https://letterboxd.com/film/alien/,2026-05-03T15:32:18+00:00,ultimate_comfort,1
aliens,Letterboxd — Your life in film,,137,,USA,English,,,,,,"Monsters, aliens, sci-fi and the apocalypse|Horror, the undead and monster classics|War and historical adventure|Epic heroes|Action-packed space and alien sagas|Sci-fi horror, creatures, and aliens|Thought-provoking sci-fi action and future technology|Imaginative space odysseys and alien encounters|Superheroes in action-packed battles with villains",https://letterboxd.com/film/aliens/,2026-05-03T15:32:20+00:00,ultimate_comfort,1
almost-famous,Letterboxd — Your life in film,,124,,USA,English,,,,,,Moving relationship stories|Underdogs and coming of age|Song and dance|Legendary musicians and stardom|Captivating relationships and charming romance|Emotional life of renowned artists|Emotional teen coming-of-age stories|Teen school antics and laughter,https://letterboxd.com/film/almost-famous/,2026-05-03T15:32:22+00:00,comfort_izzy|ultimate_comfort,2
american-hustle,Letterboxd — Your life in film,,138,,USA,English,,,,,,"Crime, drugs and gangsters|Gags, jokes, and slapstick humor",https://letterboxd.com/film/american-hustle/,2026-05-03T15:32:24+00:00,ultimate_comfort,1
an-american-tail,Letterboxd — Your life in film,,80,,USA,English,,,,,,Adorable animals and heartwarming families|Fairy-tale fantasy and enchanted magic|Kids' animated fun and adventure|Emotional and heartfelt family dramas|Heartfelt and sentimental family stories,https://letterboxd.com/film/an-american-tail/,2026-05-03T15:32:26+00:00,ultimate_comfort,1
anastasia-1997,Letterboxd — Your life in film,,94,,USA,English|Russian|French,,,,,,Song and dance|Fairy-tale fantasy and enchanted magic|Kids' animated fun and adventure|Emotional and captivating fantasy storytelling|Dazzling vocal performances and musicals|Adorable animals and heartwarming families,https://letterboxd.com/film/anastasia-1997/,2026-05-03T15:32:28+00:00,ultimate_comfort,1
anna-and-the-apocalypse,Letterboxd — Your life in film,,97,,UK,English,,,,,,Song and dance|Crude humor and satire|Dazzling vocal performances and musicals|Catchy songs and hilarious musical comedy|Survival horror and zombie carnage|Teen school antics and laughter|Dance rhythms and catchy tunes,https://letterboxd.com/film/anna-and-the-apocalypse/,2026-05-03T15:32:30+00:00,ultimate_comfort,1
annie-hall,Letterboxd — Your life in film,,93,,USA,English|German,,,,,,"Relationship comedy|Crude humor and satire|Gags, jokes, and slapstick humor|Laugh-out-loud relationship entanglements|Amusing jokes and witty satire|Funny jokes and crude humor|Catchy songs and hilarious musical comedy",https://letterboxd.com/film/annie-hall/,2026-05-03T15:32:33+00:00,ultimate_comfort,1
the-apartment,Letterboxd — Your life in film,,125,,USA,English,,,,,,Relationship comedy|Moving relationship stories|Crude humor and satire|Humanity and the world around us|Laugh-out-loud relationship entanglements|Charming romances and delightful chemistry|Quirky and endearing relationships|Captivating relationships and charming romance|Passion and romance,https://letterboxd.com/film/the-apartment/,2026-05-03T15:32:35+00:00,comfort_izzy|ultimate_comfort,2
apollo-13,Letterboxd — Your life in film,,140,,USA,English,,,,,,Epic history and literature|Imaginative space odysseys and alien encounters|Disastrous voyages and heroic survival|Air pilot heroism and survival|Emotional and captivating fantasy storytelling|Superheroes in action-packed battles with villains,https://letterboxd.com/film/apollo-13/,2026-05-03T15:32:37+00:00,ultimate_comfort,1
aquaman-2018,Letterboxd — Your life in film,,143,,USA,English,,,,,,"Epic heroes|Superheroes in action-packed battles with villains|Fantasy adventure, heroism, and swordplay|Epic adventure and breathtaking battles|Action comedy and silly heroics|Emotional and captivating fantasy storytelling",https://letterboxd.com/film/aquaman-2018/,2026-05-03T15:32:39+00:00,ultimate_comfort,1
arrival-2016,Letterboxd — Your life in film,,116,,USA,English|Chinese|Russian,,,,,,"Monsters, aliens, sci-fi and the apocalypse|Humanity and the world around us|Imaginative space odysseys and alien encounters|Action-packed space and alien sagas|Thought-provoking sci-fi action and future technology|Dangerous technology and the apocalypse|Humanity's odyssey: earth and beyond",https://letterboxd.com/film/arrival-2016/,2026-05-03T15:32:41+00:00,ultimate_comfort,1
avengers-endgame,Letterboxd — Your life in film,,181,,USA,English|Japanese|Xhosa,,,,,,"Epic heroes|Superheroes in action-packed battles with villains|Fantasy adventure, heroism, and swordplay|Epic adventure and breathtaking battles|Historical battles and epic heroism",https://letterboxd.com/film/avengers-endgame/,2026-05-03T15:32:43+00:00,ultimate_comfort,1
avengers-infinity-war,Letterboxd — Your life in film,,149,,USA,English|Xhosa,,,,,,"Epic heroes|Superheroes in action-packed battles with villains|Fantasy adventure, heroism, and swordplay|Action comedy and silly heroics|Action-packed space and alien sagas|Explosive and action-packed heroes vs. villains",https://letterboxd.com/film/avengers-infinity-war/,2026-05-03T15:32:45+00:00,ultimate_comfort,1
back-to-the-future,Letterboxd — Your life in film,,116,,USA,English,,,,,,"Crude humor and satire|Underdogs and coming of age|Relationship comedy|Teen school antics and laughter|Quirky and endearing relationships|Gags, jokes, and slapstick humor|Kids' animated fun and adventure|Laugh-out-loud relationship entanglements",https://letterboxd.com/film/back-to-the-future/,2026-05-03T15:32:48+00:00,comfort_izzy|ultimate_comfort,2
back-to-the-future-part-ii,Letterboxd — Your life in film,,108,,USA,English,,,,,,"Monsters, aliens, sci-fi and the apocalypse|Thought-provoking sci-fi action and future technology|Emotional and captivating fantasy storytelling",https://letterboxd.com/film/back-to-the-future-part-ii/,2026-05-03T15:32:50+00:00,ultimate_comfort,1
barefoot-in-the-park,Letterboxd — Your life in film,,106,,USA,English,,,,,,"Relationship comedy|Crude humor and satire|Laugh-out-loud relationship entanglements|Gags, jokes, and slapstick humor|Charming romances and delightful chemistry|Funny jokes and crude humor|Quirky and endearing relationships",https://letterboxd.com/film/barefoot-in-the-park/,2026-05-03T15:32:52+00:00,ultimate_comfort,1
batman-begins,Letterboxd — Your life in film,,140,,UK|USA,English|Urdu|Chinese,,,,,,"Epic heroes|High speed and special ops|Superheroes in action-packed battles with villains|Explosive and action-packed heroes vs. villains|Intense combat and martial arts|Action comedy and silly heroics|Fantasy adventure, heroism, and swordplay",https://letterboxd.com/film/batman-begins/,2026-05-03T15:32:54+00:00,ultimate_comfort,1
batman-mask-of-the-phantasm,Letterboxd — Your life in film,,76,,USA,English,,,,,,"Thrillers and murder mysteries|Epic heroes|Crime, drugs and gangsters|Superheroes in action-packed battles with villains|Noir and dark crime dramas|Intriguing and suspenseful murder mysteries",https://letterboxd.com/film/batman-mask-of-the-phantasm/,2026-05-03T15:32:56+00:00,ultimate_comfort,1
beauty-and-the-beast-1991,Letterboxd — Your life in film,,84,,USA,English|French,,,,,,Song and dance|Fairy-tale fantasy and enchanted magic|Dazzling vocal performances and musicals|Kids' animated fun and adventure|Emotional and captivating fantasy storytelling|Holiday joy and heartwarming Christmas,https://letterboxd.com/film/beauty-and-the-beast-1991/,2026-05-03T15:32:59+00:00,ultimate_comfort,1
bedknobs-and-broomsticks,Letterboxd — Your life in film,,117,,USA,English,,,,,,Song and dance|Fairy-tale fantasy and enchanted magic|Kids' animated fun and adventure|Dazzling vocal performances and musicals|Holiday joy and heartwarming Christmas|Adorable animals and heartwarming families,https://letterboxd.com/film/bedknobs-and-broomsticks/,2026-05-03T15:33:01+00:00,ultimate_comfort,1
before-sunset,Letterboxd — Your life in film,,80,,USA,English|French,,,,,,Moving relationship stories|Captivating relationships and charming romance|Passion and romance|Charming romances and delightful chemistry|Heartfelt and sentimental family stories|Powerful poetic and passionate drama,https://letterboxd.com/film/before-sunset/,2026-05-03T15:33:03+00:00,ultimate_comfort,1
best-in-show,Letterboxd — Your life in film,,90,,USA,English,,,,,,"Crude humor and satire|Funny jokes and crude humor|Gags, jokes, and slapstick humor|Amusing jokes and witty satire|Catchy songs and hilarious musical comedy|Action comedy and silly heroics",https://letterboxd.com/film/best-in-show/,2026-05-03T15:33:05+00:00,ultimate_comfort,1
the-best-years-of-our-lives,Letterboxd — Your life in film,,171,,USA,English,,,,,,War and historical adventure|Moving relationship stories|Humanity and the world around us|Military combat and heroic soldiers|Bravery in War|Heartbreaking and moving family drama|Heartfelt and sentimental family stories|Enduring stories of family and marital drama,https://letterboxd.com/film/the-best-years-of-our-lives/,2026-05-03T15:33:08+00:00,ultimate_comfort,1
better-off-dead,Letterboxd — Your life in film,,97,,USA,English,,,,,,"Crude humor and satire|Underdogs and coming of age|Relationship comedy|Gags, jokes, and slapstick humor|Teen school antics and laughter|Funny jokes and crude humor|Laugh-out-loud relationship entanglements|Kids' animated fun and adventure",https://letterboxd.com/film/better-off-dead/,2026-05-03T15:33:10+00:00,ultimate_comfort,1
the-big-chill,Letterboxd — Your life in film,,105,,USA,English,,,,,,Moving relationship stories|Emotional teen coming-of-age stories|Heartfelt and sentimental family stories|Powerful stories of heartbreak and suffering|Enduring stories of family and marital drama|Quirky and endearing relationships,https://letterboxd.com/film/the-big-chill/,2026-05-03T15:33:12+00:00,ultimate_comfort,1
