film_title,year,genre,runtime_mins,avg_rating,num_ratings,num_reviews,country,language,letterboxd_url,date_scraped
Harakiri,1962,History|Drama|Action,135,4.68,226729,56217,Japan,Japanese,https://letterboxd.com/film/harakiri/,2026-05-04
The Human Condition III: A Soldier’s Prayer,1961,History|Drama|War,190,4.65,29935,7269,Japan,Japanese|Chinese|Japanese|Russian,https://letterboxd.com/film/the-human-condition-iii-a-soldiers-prayer/,2026-05-04
12 Angry Men,1957,Drama,97,4.63,1473139,290773,USA,English,https://letterboxd.com/film/12-angry-men/,2026-05-04
Come and See,1985,War|Drama,142,4.61,448690,115065,USSR,Russian|Belarusian|German|Russian,https://letterboxd.com/film/come-and-see/,2026-05-04
Seven Samurai,1954,Action|Drama,207,4.6,429231,82925,Japan,Japanese,https://letterboxd.com/film/seven-samurai/,2026-05-04
High and Low,1963,Thriller|Crime|Drama,142,4.6,205965,60036,Japan,Japanese,https://letterboxd.com/film/high-and-low/,2026-05-04
The Shawshank Redemption,1994,Crime|Drama,142,4.59,2750811,284162,USA,English,https://letterboxd.com/film/the-shawshank-redemption/,2026-05-04
The Godfather Part II,1974,Drama|Crime,202,4.59,1383757,166924,USA,English|English|Italian|Latin|Spanish,https://letterboxd.com/film/the-godfather-part-ii/,2026-05-04
The Human Condition I: No Greater Love,1959,War|Drama|History,204,4.58,42059,10165,Japan,Japanese|Japanese|Chinese,https://letterboxd.com/film/the-human-condition-i-no-greater-love/,2026-05-04
City of God,2002,Drama|Crime,129,4.57,1128567,190255,Brazil|France|Germany,Portuguese,https://letterboxd.com/film/city-of-god/,2026-05-04
The Lord of the Rings: The Return of the King,2003,Action|Fantasy|Adventure,201,4.55,2198682,280625,New Zealand|USA,English,https://letterboxd.com/film/the-lord-of-the-rings-the-return-of-the-king/,2026-05-04
Schindler’s List,1993,History|Drama|War,195,4.54,1377615,108394,USA,English|German|Polish|Hebrew (modern)|English,https://letterboxd.com/film/schindlers-list/,2026-05-04
Yi Yi,2000,Drama,174,4.53,181170,56988,Taiwan|Japan,Chinese|Japanese|Chinese|English,https://letterboxd.com/film/yi-yi/,2026-05-04
