username,film_slug,rating
kurstboy,michael-2026,2.0
kurstboy,mother-mary-2026,3.5
kurstboy,faces-of-death-2026,4.0
kurstboy,the-super-mario-galaxy-movie,1.5
kurstboy,the-drama,4.0
kurstboy,pizza-movie-2026,3.0
kurstboy,project-hail-mary,3.5
kurstboy,the-bride-2026,2.5
kurstboy,hoppers,4.0
kurstboy,crime-101,3.0
kurstboy,wuthering-heights-2026,2.0
kurstboy,the-moment-2026,3.5
kurstboy,28-years-later-the-bone-temple,4.0
kurstboy,the-rip-2026,2.5
kurstboy,avatar-fire-and-ash,3.0
kurstboy,children-no-more-were-and-are-gone,3.0
kurstboy,zootopia-2,3.5
kurstboy,keeper-2025,1.5
kurstboy,wicked-for-good,2.5
kurstboy,the-running-man-2025,3.5
kurstboy,song-sung-blue-2025,2.5
kurstboy,butchers-stain,2.5
kurstboy,mr-scorsese,3.5
kurstboy,is-this-thing-on-2025,3.5
kurstboy,marty-supreme,5.0
kurstboy,him-2025,2.0
kurstboy,fuck-my-son,1.5
kurstboy,dust-bunny,2.0
kurstboy,one-battle-after-another,5.0
kurstboy,the-long-walk-2025,2.5
kurstboy,the-balloonists,3.5
kurstboy,roofman,3.5
kurstboy,rental-family-2025,3.0
kurstboy,wake-up-dead-man,3.5
kurstboy,the-lost-bus,3.0
kurstboy,steve-2025,3.0
kurstboy,the-voice-of-hind-rajab,4.0
kurstboy,a-house-of-dynamite,2.5
kurstboy,dead-mans-wire,4.0
kurstboy,the-smashing-machine-2025,4.0
kurstboy,the-testament-of-ann-lee,3.5
kurstboy,all-the-empty-rooms,3.0
kurstboy,father-mother-sister-brother,3.0
kurstboy,frankenstein-2025,4.0
kurstboy,hamnet,3.5
kurstboy,after-the-hunt-2025,2.0
kurstboy,no-other-choice-2025,4.5
kurstboy,ballad-of-a-small-player,2.5
kurstboy,bugonia,3.5
kurstboy,jay-kelly,4.0
kurstboy,blue-heron,4.5
kurstboy,caught-stealing,3.0
kurstboy,weapons-2025,4.0
kurstboy,undertone-2025,2.0
kurstboy,the-naked-gun,4.0
kurstboy,kpop-demon-hunters,3.0
kurstboy,superman-2025,2.0
kurstboy,28-years-later,4.0
kurstboy,jurassic-world-rebirth,1.5
kurstboy,f1,3.5
kurstboy,elio,3.5
kurstboy,our-hero-balthazar,4.0
kurstboy,the-girl-who-cried-pearls,3.5
kurstboy,materialists,3.5
kurstboy,how-to-train-your-dragon-2025,2.5
kurstboy,the-mastermind-2025,4.5
kurstboy,honey-dont,3.0
kurstboy,sentimental-value-2025,4.5
kurstboy,the-history-of-sound,2.0
kurstboy,romeria,4.0
kurstboy,little-amelie-or-the-character-of-rain,4.0
kurstboy,it-was-just-an-accident,4.5
kurstboy,splitsville,3.5
kurstboy,highest-2-lowest,3.5
kurstboy,alpha-2025,3.0
kurstboy,kokuho,3.5
kurstboy,the-secret-agent-2025,4.5
kurstboy,my-fathers-shadow-2025,4.0
kurstboy,nino-2025,4.5
kurstboy,pillion-2025,4.0
kurstboy,exit-8,3.5
kurstboy,the-love-that-remains,4.0
kurstboy,the-phoenician-scheme,4.0
kurstboy,miroirs-no-3,4.0
kurstboy,dangerous-animals,3.0
kurstboy,urchin-2025,4.0
kurstboy,renoir-2025,3.0
kurstboy,die-my-love,4.0
kurstboy,nouvelle-vague-2025,3.5
kurstboy,arco,3.5
kurstboy,eddington,4.0
kurstboy,sirat-2025,4.5
kurstboy,left-handed-girl,3.5
kurstboy,sound-of-falling,4.0
kurstboy,forevergreen,3.0
kurstboy,mission-impossible-the-final-reckoning,3.0
kurstboy,a-friend-of-dorothy-2025,3.0
kurstboy,thunderbolts,3.5
kurstboy,sinners-2025,4.5
kurstboy,the-amateur-2025,2.5
kurstboy,a-minecraft-movie,1.5
kurstboy,adolescence-2025,4.0
kurstboy,warfare,2.5
kurstboy,armed-only-with-a-camera-the-life-and-death,2.5
kurstboy,nirvanna-the-band-the-show-the-movie,5.0
kurstboy,black-bag-2025,4.0
kurstboy,the-singers-2025,4.0
kurstboy,it-ends,4.0
kurstboy,blue-moon-2025,4.5
kurstboy,mickey-17,4.0
kurstboy,the-monkey-2025,2.0
kurstboy,the-alabama-solution,4.0
kurstboy,lurker-2025,3.5
kurstboy,cutting-through-rocks,3.5
kurstboy,blknws-terms-conditions,4.0
kurstboy,peter-hujars-day,4.0
kurstboy,sorry-baby-2025,3.5
kurstboy,opus-2025,1.5
kurstboy,train-dreams,4.0
kurstboy,come-see-me-in-the-good-light,3.0
kurstboy,mr-nobody-against-putin,3.5
kurstboy,the-perfect-neighbour,4.0
kurstboy,if-i-had-legs-id-kick-you,4.5
kurstboy,the-ugly-stepsister,3.5
kurstboy,a-complete-unknown,3.5
kurstboy,the-six-triple-eight-2024,2.0
kurstboy,carry-on-2024,3.0
kurstboy,the-devil-is-busy,3.5
kurstboy,nosferatu-2024,3.5
kurstboy,red-one,0.5
kurstboy,wallace-gromit-vengeance-most-fowl,3.5
kurstboy,juror-2,3.5
kurstboy,viva-verdi,2.5
kurstboy,gladiator-ii,3.0
kurstboy,the-three-sisters-2024,2.5
kurstboy,wicked-2024,3.5
kurstboy,blitz-2024,2.5
kurstboy,death-by-numbers,3.5
kurstboy,jesus-2,2.0
kurstboy,friendship-2024,4.0
kurstboy,heretic-2024,3.0
kurstboy,the-wild-robot,4.0
kurstboy,elton-john-never-too-late,2.5
kurstboy,joker-folie-a-deux,2.0
kurstboy,queer-2024,4.0
kurstboy,the-room-next-door-2024,4.0
kurstboy,im-still-here-2024,4.0
kurstboy,the-brutalist,4.5
kurstboy,wolfs,2.0
kurstboy,martha-2024,2.5
kurstboy,saturday-night-2024,3.0
kurstboy,two-people-exchanging-saliva,4.0
kurstboy,cloud-2024,4.5
kurstboy,better-man-2024,4.0
kurstboy,babygirl-2024,4.0
kurstboy,conclave,4.0
kurstboy,nickel-boys,5.0
kurstboy,kill-the-jockey,4.0
kurstboy,maria-2024,2.5
kurstboy,september-5,3.0
kurstboy,beetlejuice-beetlejuice,3.5
kurstboy,alien-romulus,3.5
kurstboy,the-code-2024,4.0
kurstboy,trap-2024,4.0
kurstboy,retirement-plan,4.5
kurstboy,twisters,3.5
kurstboy,longlegs,4.0
kurstboy,allen-sunshine,4.5
kurstboy,a-quiet-place-day-one,2.0
kurstboy,maxxxine,2.0
kurstboy,instruments-of-a-beating-heart,4.0
kurstboy,look-back-2024,3.5
kurstboy,memoir-of-a-snail,3.0
kurstboy,inside-out-2-2024,3.5
kurstboy,anuja,3.0
kurstboy,boys-go-to-jupiter,4.5
kurstboy,perfectly-a-strangeness,4.0
kurstboy,the-man-who-could-not-remain-silent,4.5
kurstboy,the-seed-of-the-sacred-fig,4.0
kurstboy,flow-2024,4.0
kurstboy,anora,4.5
kurstboy,the-apprentice-2024,3.5
kurstboy,blue-sun-palace,4.0
kurstboy,eephus,4.0
kurstboy,the-substance,4.0
kurstboy,emilia-perez,2.0
kurstboy,universal-language,4.0
kurstboy,the-balconettes,3.0
kurstboy,rumours-2024,3.5
kurstboy,oh-canada,3.5
kurstboy,christmas-eve-in-millers-point,4.0
kurstboy,kinds-of-kindness,4.0
kurstboy,bird-2024,4.5
kurstboy,megalopolis-2024,3.5
kurstboy,the-girl-with-the-needle,4.0
kurstboy,wild-diamond,3.0
kurstboy,simon-of-the-mountain,2.5
kurstboy,the-second-act,2.5
kurstboy,furiosa-a-mad-max-saga,4.0
kurstboy,kingdom-of-the-planet-of-the-apes,3.5
kurstboy,rap-world,4.0
kurstboy,ripley,4.5
kurstboy,steve-2024,3.5
kurstboy,challengers,5.0
kurstboy,godzilla-kong-the-new-empire,2.5
kurstboy,my-first-film-2024,3.5
kurstboy,civil-war-2024,3.0
kurstboy,diane-warren-relentless,2.0
kurstboy,the-fall-guy-2024,3.5
kurstboy,immaculate-2024,3.0
kurstboy,monkey-man,4.0
kurstboy,ren-faire,4.5
kurstboy,magic-candies,4.0
kurstboy,spermworld,4.0
kurstboy,drive-away-dolls,2.5
kurstboy,i-am-ready-warden,2.0
kurstboy,butterfly-2024-1,4.0
kurstboy,yuck,3.5
kurstboy,chime,4.0
kurstboy,dahomey,4.0
kurstboy,no-other-land,4.5
kurstboy,cuckoo-2024,3.0
kurstboy,madame-web,1.0
kurstboy,jane-austens-period-drama,3.0
kurstboy,dune-part-two,5.0
kurstboy,soundtrack-to-a-coup-detat,4.0
kurstboy,a-different-man,4.0
kurstboy,sugarcane,3.5
kurstboy,porcelain-war,4.0
kurstboy,black-box-diaries,3.5
kurstboy,a-real-pain,4.5
kurstboy,love-lies-bleeding-2024,3.5
kurstboy,the-greatest-night-in-pop,3.5
kurstboy,between-the-temples,4.5
kurstboy,didi-2024,4.0
kurstboy,martyrs-guidebook,4.0
kurstboy,kneecap,3.5
kurstboy,ghostlight-2024,3.5
kurstboy,i-saw-the-tv-glow,4.0
kurstboy,the-last-ranger,3.0
kurstboy,mean-girls-2024,1.0
