film_title,year,genre,runtime_mins,avg_rating,num_ratings,num_reviews,country,language,letterboxd_url,date_scraped
Project Hail Mary,2026,Science Fiction|Adventure,156,4.32,6112886112880230034531603320260503202621202003285123816043225299950,1238160,USA,English|Chinese|English|Russian,https://letterboxd.com/film/project-hail-mary/,2026-05-04
Marty Supreme,2025,Thriller|Drama,150,4.08,1197499119749902300345142643202605032424120253131341212129711202407165114126640826049200,1141266,USA,English|English|Japanese,https://letterboxd.com/film/marty-supreme/,2026-05-04
The Drama,2026,Romance|Drama|Comedy,105,3.74,120549412054940230034523205202605032424202612120240806563160737413087060,631607,USA,English,https://letterboxd.com/film/the-drama/,2026-05-04
Hamnet,2025,History|Drama|Romance,125,4.19,7722327722320230034563148931420260503202552720210805565687341914894570,656873,UK|USA,English,https://letterboxd.com/film/hamnet/,2026-05-04
Wuthering Heights,2026,Romance|Drama,136,2.75,1196911119691120260230034570231202605031202620261252123202407132026560180427511746930,601804,USA|UK,English,https://letterboxd.com/film/wuthering-heights-2026/,2026-05-04
The Housemaid,2025,Thriller|Mystery,131,3.03,1255319125531920250230034505462026050312025202511132202410092025552129530313566600,521295,USA,English,https://letterboxd.com/film/the-housemaid-2025/,2026-05-04
Sinners,2025,Thriller|Action|Horror,138,4.1,111660011166002025023003455996755520260503202520251134202401202025515788064143217830,1578806,USA,English|English|Chinese|Yoruba,https://letterboxd.com/film/sinners-2025/,2026-05-04
Stranger Things 5: The Finale,2025,Action|Fantasy|Mystery,125,3.04,144033414403345023003459563202601092121202551112025102455548248430412229440,482484,USA,English,https://letterboxd.com/film/stranger-things-5-the-finale/,2026-05-04
People We Meet on Vacation,2026,Comedy|Drama|Romance,116,3.17,93285693285602300345988532202604303000300020261122132022101354181883179494920,418188,USA,English,https://letterboxd.com/film/people-we-meet-on-vacation/,2026-05-04
One Battle After Another,2025,Thriller|Comedy|Action|Crime,162,4.15,951277951277023003452746622026050320252118114112211220221130596325441526025850,963254,USA,English|English|Spanish|French,https://letterboxd.com/film/one-battle-after-another/,2026-05-04
Zootopia 2,2025,Adventure|Family|Comedy|Animation|Mystery|here,108,3.69,9773429773422023003450015972026050312025221221112023020922561239136916777310,612391,USA|Canada,English,https://letterboxd.com/film/zootopia-2/,2026-05-04
Bugonia,2025,Thriller|Science Fiction|Comedy,118,3.85,625400625400023003454664915020260503202520200509568632738517405000,686327,Ireland|South Korea|USA|Canada,English,https://letterboxd.com/film/bugonia/,2026-05-04
Send Help,2026,Thriller|Horror|Comedy,113,3.4,108411710841170230034598917355202605032020202611202311015301094346738620,301094,USA,English,https://letterboxd.com/film/send-help/,2026-05-04
Sentimental Value,2025,Drama,133,4.15,1013357101335720250230034589643092026050315202520251211120230510202553662534159163650,366253,Turkey|Norway|France|Denmark|Sweden|Germany|UK,Norwegian|English|German|Norwegian|Swedish,https://letterboxd.com/film/sentimental-value-2025/,2026-05-04
28 Years Later: The Bone Temple,2026,Horror|Science Fiction|Thriller|here,109,3.86,115640911564092802300345131058620260503202628131120240411282852861723866745120,286172,UK|USA,English,https://letterboxd.com/film/28-years-later-the-bone-temple/,2026-05-04
No Other Choice,2025,Crime|Comedy|Thriller,140,4.09,5659525659522025023003458742952026050312025202511112120191017202552905064097594420,290506,South Korea|France,Korean|English|Korean,https://letterboxd.com/film/no-other-choice-2025/,2026-05-04
The Super Mario Galaxy Movie,2026,Adventure|Fantasy|Family|Animation|Comedy,98,2.91,11100801110080023003451342026050320261112024010652765262915732540,276526,Japan|USA,English,https://letterboxd.com/film/the-super-mario-galaxy-movie/,2026-05-04
Wake Up Dead Man,2025,Comedy|Thriller|Mystery,145,3.78,72911372911302300345853366617202605012025120210401574914337821138250,749143,USA,English,https://letterboxd.com/film/wake-up-dead-man/,2026-05-04
Avatar: Fire and Ash,2025,Adventure|Fantasy|Science Fiction,198,3.55,70007700070230034552835120260503202020251181420120112554392435514120630,543924,USA,English,https://letterboxd.com/film/avatar-fire-and-ash/,2026-05-04
