film_title,year,genre,runtime_mins,avg_rating,num_ratings,num_reviews,country,language,letterboxd_url,date_scraped
La La Land,2016,Drama|Comedy|Romance,129,4.12,4633643.0,991788.0,USA,English,https://letterboxd.com/film/la-la-land/,2026-05-03
Eternal Sunshine of the Spotless Mind,2004,Science Fiction|Romance|Drama,108,4.24,3455775.0,694638.0,USA,English,https://letterboxd.com/film/eternal-sunshine-of-the-spotless-mind/,2026-05-03
10 Things I Hate About You,1999,Comedy|Drama|Romance,97,4.05,3819636.0,714889.0,USA,English|English|French,https://letterboxd.com/film/10-things-i-hate-about-you/,2026-05-03
Forrest Gump,1994,Drama|Romance|Comedy,142,4.18,3828051.0,302366.0,USA,English,https://letterboxd.com/film/forrest-gump/,2026-05-03
Challengers,2024,Romance|Drama,132,3.83,2764513.0,1043123.0,Italy|USA,English|English|Romanian,https://letterboxd.com/film/challengers/,2026-05-03
(500) Days of Summer,2009,Romance|Comedy|Drama,95,3.65,3014383.0,685775.0,USA,English|English|French|Swedish,https://letterboxd.com/film/500-days-of-summer/,2026-05-03
Call Me by Your Name,2017,Romance|Drama,132,3.85,2954575.0,599638.0,Brazil|France|Italy|USA,English|French|English|Italian,https://letterboxd.com/film/call-me-by-your-name/,2026-05-03
Little Women,2019,Drama|Romance,135,4.18,2781850.0,558626.0,USA,English|French|English,https://letterboxd.com/film/little-women-2019/,2026-05-03
Poor Things,2023,Romance|Science Fiction|Comedy,141,3.93,2529244.0,688193.0,Ireland|UK|USA,English|English|French|Portuguese,https://letterboxd.com/film/poor-things-2023/,2026-05-03
Wicked,2024,Romance|Drama|Fantasy,162,3.77,2672533.0,1040753.0,USA,English,https://letterboxd.com/film/wicked-2024/,2026-05-03
Anora,2024,Drama|Romance|Comedy,139,3.79,2415494.0,843471.0,USA,English|English|Russian|Armenian,https://letterboxd.com/film/anora/,2026-05-03
Titanic,1997,Drama|Romance,194,3.83,3102445.0,266812.0,USA,English|English|French|German|Swedish|Italian|Russian,https://letterboxd.com/film/titanic-1997/,2026-05-03
The Notebook,2004,Romance|Drama,123,3.87,2509980.0,486804.0,USA,English,https://letterboxd.com/film/the-notebook/,2026-05-03
Scott Pilgrim vs. the World,2010,Romance|Action|Comedy,113,3.88,2499855.0,461251.0,Japan|UK|USA,English,https://letterboxd.com/film/scott-pilgrim-vs-the-world/,2026-05-03
Her,2013,Science Fiction|Romance|Drama,126,3.97,2162521.0,321503.0,USA,English,https://letterboxd.com/film/her/,2026-05-03
Pride & Prejudice,2005,Drama|Romance,128,4.14,2077654.0,537761.0,France|UK|USA,English,https://letterboxd.com/film/pride-prejudice/,2026-05-03
Past Lives,2023,Drama|Romance,106,4.16,1739604.0,592471.0,USA|South Korea,English|English|Korean,https://letterboxd.com/film/past-lives/,2026-05-03
How to Lose a Guy in 10 Days,2003,Comedy|Romance,116,3.79,2123370.0,467720.0,USA,English,https://letterboxd.com/film/how-to-lose-a-guy-in-10-days/,2026-05-03
Hamnet,2025,History|Drama|Romance,125,4.19,1488282.0,656551.0,UK|USA,English,https://letterboxd.com/film/hamnet/,2026-05-03
Twilight,2008,Drama|Fantasy|Romance,122,3.08,2175544.0,542013.0,UK|USA,English,https://letterboxd.com/film/twilight-2008/,2026-05-03
Mamma Mia!,2008,Comedy|Romance,108,3.86,2040605.0,431019.0,Germany|UK|USA,English|English|Greek (modern),https://letterboxd.com/film/mamma-mia/,2026-05-03
Before Sunrise,1995,Romance|Drama,101,4.3,1431871.0,409885.0,Austria|USA,English|English|German|French,https://letterboxd.com/film/before-sunrise/,2026-05-03
Brokeback Mountain,2005,Drama|Romance,134,4.16,1516866.0,405231.0,Canada|USA,English,https://letterboxd.com/film/brokeback-mountain/,2026-05-03
