list_name,list_url,film_title,letterboxd_url,date_scraped
Top 500,https://letterboxd.com/official/list/letterboxds-top-500-films/,Harakiri,https://letterboxd.com/film/harakiri/,2026-05-04
Top 500,https://letterboxd.com/official/list/letterboxds-top-500-films/,The Human Condition III: A Soldier's Prayer,https://letterboxd.com/film/the-human-condition-iii-a-soldiers-prayer/,2026-05-04
Top 500,https://letterboxd.com/official/list/letterboxds-top-500-films/,12 Angry Men,https://letterboxd.com/film/12-angry-men/,2026-05-04
Top 500,https://letterboxd.com/official/list/letterboxds-top-500-films/,Come and See,https://letterboxd.com/film/come-and-see/,2026-05-04
Top 500,https://letterboxd.com/official/list/letterboxds-top-500-films/,Seven Samurai,https://letterboxd.com/film/seven-samurai/,2026-05-04
Top 500,https://letterboxd.com/official/list/letterboxds-top-500-films/,High and Low,https://letterboxd.com/film/high-and-low/,2026-05-04
Top 500,https://letterboxd.com/official/list/letterboxds-top-500-films/,The Shawshank Redemption,https://letterboxd.com/film/the-shawshank-redemption/,2026-05-04
Top 500,https://letterboxd.com/official/list/letterboxds-top-500-films/,The Godfather Part II,https://letterboxd.com/film/the-godfather-part-ii/,2026-05-04
Top 500,https://letterboxd.com/official/list/letterboxds-top-500-films/,The Human Condition I: No Greater Love,https://letterboxd.com/film/the-human-condition-i-no-greater-love/,2026-05-04
Top 500,https://letterboxd.com/official/list/letterboxds-top-500-films/,City of God,https://letterboxd.com/film/city-of-god/,2026-05-04
Top 500,https://letterboxd.com/official/list/letterboxds-top-500-films/,The Lord of the Rings: The Return of the King,https://letterboxd.com/film/the-lord-of-the-rings-the-return-of-the-king/,2026-05-04
Top 500,https://letterboxd.com/official/list/letterboxds-top-500-films/,Schindler's List,https://letterboxd.com/film/schindlers-list/,2026-05-04
Top 500,https://letterboxd.com/official/list/letterboxds-top-500-films/,Yi Yi,https://letterboxd.com/film/yi-yi/,2026-05-04
Top 500,https://letterboxd.com/official/list/letterboxds-top-500-films/,Parasite,https://letterboxd.com/film/parasite-2019/,2026-05-04
Top 500,https://letterboxd.com/official/list/letterboxds-top-500-films/,The Godfather,https://letterboxd.com/film/the-godfather/,2026-05-04
Top 500,https://letterboxd.com/official/list/letterboxds-top-500-films/,Ikiru,https://letterboxd.com/film/ikiru/,2026-05-04
Top 500,https://letterboxd.com/official/list/letterboxds-top-500-films/,Ran,https://letterboxd.com/film/ran/,2026-05-04
Top 500,https://letterboxd.com/official/list/letterboxds-top-500-films/,Cinema Paradiso,https://letterboxd.com/film/cinema-paradiso/,2026-05-04
Top 500,https://letterboxd.com/official/list/letterboxds-top-500-films/,Le Trou,https://letterboxd.com/film/le-trou/,2026-05-04
Top 500,https://letterboxd.com/official/list/letterboxds-top-500-films/,"The Good, the Bad and the Ugly",https://letterboxd.com/film/the-good-the-bad-and-the-ugly/,2026-05-04
Top 500,https://letterboxd.com/official/list/letterboxds-top-500-films/,La Haine,https://letterboxd.com/film/la-haine/,2026-05-04
Top 500,https://letterboxd.com/official/list/letterboxds-top-500-films/,A Brighter Summer Day,https://letterboxd.com/film/a-brighter-summer-day/,2026-05-04
Top 500,https://letterboxd.com/official/list/letterboxds-top-500-films/,Autumn Sonata,https://letterboxd.com/film/autumn-sonata/,2026-05-04
Top 500,https://letterboxd.com/official/list/letterboxds-top-500-films/,The Dark Knight,https://letterboxd.com/film/the-dark-knight/,2026-05-04
Top 500,https://letterboxd.com/official/list/letterboxds-top-500-films/,The Human Condition II: Road to Eternity,https://letterboxd.com/film/the-human-condition-ii-road-to-eternity/,2026-05-04
Top 500,https://letterboxd.com/official/list/letterboxds-top-500-films/,Grave of the Fireflies,https://letterboxd.com/film/grave-of-the-fireflies/,2026-05-04
Top 500,https://letterboxd.com/official/list/letterboxds-top-500-films/,Neon Genesis Evangelion: The End of Evangelion,https://letterboxd.com/film/neon-genesis-evangelion-the-end-of-evangelion/,2026-05-04
Top 500,https://letterboxd.com/official/list/letterboxds-top-500-films/,Woman in the Dunes,https://letterboxd.com/film/woman-in-the-dunes/,2026-05-04
Top 500,https://letterboxd.com/official/list/letterboxds-top-500-films/,There Will Be Blood,https://letterboxd.com/film/there-will-be-blood/,2026-05-04
Top 500,https://letterboxd.com/official/list/letterboxds-top-500-films/,The Battle of Algiers,https://letterboxd.com/film/the-battle-of-algiers/,2026-05-04
Top 500,https://letterboxd.com/official/list/letterboxds-top-500-films/,GoodFellas,https://letterboxd.com/film/goodfellas/,2026-05-04
Top 500,https://letterboxd.com/official/list/letterboxds-top-500-films/,The Cranes Are Flying,https://letterboxd.com/film/the-cranes-are-flying/,2026-05-04
Top 500,https://letterboxd.com/official/list/letterboxds-top-500-films/,I Am Cuba,https://letterboxd.com/film/i-am-cuba/,2026-05-04
Top 500,https://letterboxd.com/official/list/letterboxds-top-500-films/,Paths of Glory,https://letterboxd.com/film/paths-of-glory/,2026-05-04
Top 500,https://letterboxd.com/official/list/letterboxds-top-500-films/,Interstellar,https://letterboxd.com/film/interstellar/,2026-05-04
Top 500,https://letterboxd.com/official/list/letterboxds-top-500-films/,Incendies,https://letterboxd.com/film/incendies/,2026-05-04
Top 500,https://letterboxd.com/official/list/letterboxds-top-500-films/,Spirited Away,https://letterboxd.com/film/spirited-away/,2026-05-04
Top 500,https://letterboxd.com/official/list/letterboxds-top-500-films/,Andrei Rublev,https://letterboxd.com/film/andrei-rublev/,2026-05-04
Top 500,https://letterboxd.com/official/list/letterboxds-top-500-films/,It's a Wonderful Life,https://letterboxd.com/film/its-a-wonderful-life/,2026-05-04
Top 500,https://letterboxd.com/official/list/letterboxds-top-500-films/,Apocalypse Now,https://letterboxd.com/film/apocalypse-now/,2026-05-04
Top 500,https://letterboxd.com/official/list/letterboxds-top-500-films/,The Ascent,https://letterboxd.com/film/the-ascent/,2026-05-04
Top 500,https://letterboxd.com/official/list/letterboxds-top-500-films/,The Apartment,https://letterboxd.com/film/the-apartment/,2026-05-04
Top 500,https://letterboxd.com/official/list/letterboxds-top-500-films/,Sunset Boulevard,https://letterboxd.com/film/sunset-boulevard/,2026-05-04
Top 500,https://letterboxd.com/official/list/letterboxds-top-500-films/,Tokyo Story,https://letterboxd.com/film/tokyo-story/,2026-05-04
Top 500,https://letterboxd.com/official/list/letterboxds-top-500-films/,The Lord of the Rings: The Two Towers,https://letterboxd.com/film/the-lord-of-the-rings-the-two-towers/,2026-05-04
Top 500,https://letterboxd.com/official/list/letterboxds-top-500-films/,Sansho the Bailiff,https://letterboxd.com/film/sansho-the-bailiff/,2026-05-04
Top 500,https://letterboxd.com/official/list/letterboxds-top-500-films/,The Passion of Joan of Arc,https://letterboxd.com/film/the-passion-of-joan-of-arc/,2026-05-04
Top 500,https://letterboxd.com/official/list/letterboxds-top-500-films/,Whiplash,https://letterboxd.com/film/whiplash-2014/,2026-05-04
Top 500,https://letterboxd.com/official/list/letterboxds-top-500-films/,Fanny and Alexander,https://letterboxd.com/film/fanny-and-alexander/,2026-05-04
Top 500,https://letterboxd.com/official/list/letterboxds-top-500-films/,Portrait of a Lady on Fire,https://letterboxd.com/film/portrait-of-a-lady-on-fire/,2026-05-04
Top 500,https://letterboxd.com/official/list/letterboxds-top-500-films/,Mishima: A Life in Four Chapters,https://letterboxd.com/film/mishima-a-life-in-four-chapters/,2026-05-04
