activity_name,category,location_area
Ayala Triangle Gardens,Tourist attraction,"Paseo De Roxas St Cor Makati Ave, Cor Ayala Ave, Makati City, 1209 Metro Manila, Philippines"
Ayala Museum,Tourist attraction,"Makati Avenue, corner Dela Rosa Street, Ayala Center, Makati City, 1229 Metro Manila, Philippines"
Makati Museum,Tourist attraction,"986 J. P. Rizal St, Makati City, 1210 Metro Manila, Philippines"
Globe Circuit Event Grounds,Park,"H2GC+JF3, Riverfront Dr, Makati City, Metro Manila, Philippines"
Salcedo Weekend Market,Tourist attraction,"H26F+56Q, Salcedo Village, Jaime C. Velasquez Park, Tordesillas St. Cor Toledo St., Salcedo Village, Makati, 1227 Kalakhang Maynila, Philippines"
"Senator Benigno ""Ninoy"" Aquino Monument - Makati City",Tourist attraction,"6766 Ayala Ave, Legazpi Village, Makati City, 1229 Metro Manila, Philippines"
Yuchengco Museum,Tourist attraction,"RCBC Plaza, Corner Ayala Avenue and Senator Gil J. Puyat Avenue, Makati City, 1200 Metro Manila, Philippines"
Taguig People's Park,Tourist attraction,"Bldg 6 J.P. Rizal Extension, Taguig, 1215 Metro Manila, Philippines"
SM Makati,Shopping mall,"Hotel Dr, East St, Ayala Center, Makati City, 12242 Metro Manila, Philippines"
Greenbelt Park,Park,"Makati Ave, Makati City, Metro Manila, Philippines"
Jaime C. Velasquez Park,Tourist attraction,"H26F+247, Tordesillas, Makati City, 1209 Metro Manila, Philippines"
Legazpi Active Park,Tourist attraction,"Rada, Legazpi Village, Makati City, Metro Manila, Philippines"
FantasyWorld One Ayala,Amusement center,"Level 3, One Ayala, 1 Ayala Ave, Makati City, Metro Manila, Philippines"
Active Fun Taguig,Tourist attraction,"G3X2+V8P, 9th Ave, Taguig, Metro Manila, Philippines"
Dream Lab,Science museum,"Ayala Malls, Hippodromo St, Makati City, Philippines"
Mystery Manila,Escape room center,"Unit L305, 3rd Floor Century City Mall Kalayaan Avenue cor. Salamanca St Brgy, Makati City, 1210 Metro Manila, Philippines"
Makati Coliseum,Arena,"Mascardo, Makati City, 1204 Metro Manila, Philippines"
The Fun City - Ayala Malls Circuit,Indoor playground,"Philippines, Metro Manila, Makati City, 2F Ayala Circuit Mall"
LazerXtreme Manila,Tourist attraction,"4th level, Market! Market!, Bonifacio Global City, Taguig, 1634 Metro Manila, Philippines"
Glorietta Activity Center,Event venue,"H22G+F4H, Palm Dr, Ayala Center, Makati City, Metro Manila, Philippines"
DreamPlay,Tourist attraction,"Aseana Ave, Parañaque, Metro Manila, Philippines"
Left Behind Circuit Makati,Escape room center,"level 2, Ayala Malls, Circuit, Makati City, 1630 Metro Manila, Philippines"
Gootopia Mall of Asia,Recreation center,"3rd Floor, SM Mall of Asia, SM Central Business Park, 123 Seaside Blvd, Barangay 76, Pasay City, 1300 Metro Manila, Philippines"
Adventure Zone,Children's amusement center,"Levels 6, Shangri-La The Fort, Manila 30th Street, cor 5th Ave, Taguig, 1634 Metro Manila, Philippines"
Timezone Greenbelt 3,Amusement center,"Legazpi Street, Makati City, 1228 Metro Manila, Philippines"
Timezone Greenbelt 5,Amusement center,"3rd floor, Greenbelt 5, Ayala Center, Makati, 1223, Makati City, 1228 Metro Manila, Philippines"
The Bouldering Hive Makati,Rock climbing gym,"Circuit Makati, Ayala Malls, Upper Ground Level, Circuit Lane, Makati City, 1207, Philippines"
The Fun Roof,Bar,"4f, Matheus Bldg, 5382 General Luna, Makati City, 1210 Metro Manila, Philippines"
Manila Ocean Park,Theme park,"666 Behind, Quirino Grandstand, Ermita, Manila, 1000 Metro Manila, Philippines"
Santuario de San Antonio Parish (Archdiocese of Manila),Tourist attraction,"3117 McKinley Rd, Forbes Park, Makati City, 1220 Metro Manila, Philippines"
Fort Santiago,Tourist attraction,"Intramuros, Manila, 1002 Metro Manila, Philippines"
Timezone Ayala Malls Circuit,Amusement center,"Level 4, Ayala Malls Circuit, A.P. Reyes Avenue, Makati City, 1630 Metro Manila, Philippines"
OCTOPUS,Night club,"5043 P Burgos St, Makati City, 1200 Metro Manila, Philippines"
Royal Makati,Bar,"5343 St General Luna, Makati City, 1210 Metro Manila, Philippines"
Fyre Makati,Night club,"5021 P Burgos St, St, Makati City, 1210 Metro Manila, Philippines"
Secret Door,Pub,"8456 Doña Carmen St, Corner Kalayaan Ave, Poblacion, Makati City, 1210 Metro Manila, Philippines"
Bumi and Ashe Makati,Tourist attraction,"7230 Malugay, Makati City, 1209 Metro Manila, Philippines"
"Firefly Roofdeck Restaurant, Makati",Restaurant,"8008 Makati Ave. cor. Kalayaan Ave., 32/F City Garden Grand Hotel, Makati City, 1200 Metro Manila, Philippines"
Dr. Wine Poblacion Makati,French restaurant,"5921 Algier, Makati City, 1210 Metro Manila, Philippines"
Odd Cafe | Makati,Coffee shop,"7th floor Finman Centre Building 131 Tordesillas, cor Bautista, Salcedo Village, Makati City, 1227 Metro Manila, Philippines"
Mansion Sports Bar and Lounge (now Monarch Manila),Restaurant,"100, Don Carlos Palanca, Makati City, 1229 Metro Manila, Philippines"
Filling Station Bar And Cafe,American restaurant,"5012 P Burgos St, Brgy Poblacion, Makati City, 1210 Metro Manila, Philippines"
Fat Cat PH,Cafe,"2nd floor G14, Makati Square, Legazpi Village, Makati City, 1230 Metro Manila, Philippines"
Panco Cafe - Legazpi Makati,Restaurant,"110 Don Carlos Palanca, Legazpi Village, Makati City, Metro Manila, Philippines"
