tmdb_id,tagline,overview,spoken_languages,full_cast
1223977,,A mother and daughter experience a terrifying home invasion.,[],"[{'id': 4453966, 'name': 'Davina Nino', 'character': '911 Dispatch', 'popularity': 0.0, 'order': 0}, {'id': 4350220, 'name': 'Ellie Rodriguez', 'character': 'Daughter', 'popularity': 0.0071, 'order': 1}, {'id': 3704799, 'name': 'Laura Rodriguez', 'character': 'Mom', 'popularity': 0.0071, 'order': 2}, {'id': 4453973, 'name': 'Serge Usicov', 'character': 'Intruder', 'popularity': 0.0071, 'order': 3}, {'id': 4453981, 'name': 'Shambria Robinson', 'character': 'Intruder', 'popularity': 0.0, 'order': 4}]"
1340613,,"In a small house, on the Irish coast, a woman writes a letter to an unknown correspondent. She ponders the evanescence of memory and art. Her home brims with traces of life—faded photographs, scattered artworks, some unfinished. All is shrouded by the constant murmur of the sea: that vast canvas of everything that was and will be.",['en'],"[{'id': 18345, 'name': 'Brenda Fricker', 'character': '', 'popularity': 1.0748, 'order': 0}]"
1136003,,"Six queer friends decide to go camping to spend one last fun weekend together before they go their separate ways, to escape their stresses … well that was the plan anyways.",['en'],"[{'id': 4133429, 'name': 'Caroline Quinn', 'character': '', 'popularity': 0.0, 'order': 0}, {'id': 4133430, 'name': ""Eleanor O'Malley"", 'character': '', 'popularity': 0.0, 'order': 1}, {'id': 4133431, 'name': 'Jordan Begley', 'character': '', 'popularity': 0.0, 'order': 2}, {'id': 4133432, 'name': 'Christopher Lagan', 'character': '', 'popularity': 0.0, 'order': 3}, {'id': 4133433, 'name': 'Caitríona Williams', 'character': '', 'popularity': 0.0143, 'order': 4}, {'id': 1349275, 'name': 'Mícheál Óg Lane', 'character': '', 'popularity': 0.295, 'order': 5}, {'id': 4133434, 'name': 'Dan Siron', 'character': '', 'popularity': 0.0, 'order': 6}]"
1144997,,"Emer Danagher is a school girl in rural Ireland who is battling with the overwhelming agony of unrequited love. We see her build up the courage to come clean to her crush as she realises that she has nothing to lose and everything to gain. But at 17, it feels like her life will be over if she doesn't get the response she so desperately wants.",['en'],"[{'id': 2417085, 'name': 'Emma Coleman', 'character': '', 'popularity': 0.0922, 'order': 0}, {'id': 3323800, 'name': 'Jeanne Nicole Ní Áinle', 'character': '', 'popularity': 0.3162, 'order': 1}, {'id': 4133415, 'name': 'Sorcha Curley', 'character': '', 'popularity': 0.0071, 'order': 2}, {'id': 4133416, 'name': 'Taylor McClaine', 'character': '', 'popularity': 0.0, 'order': 3}]"
1144995,,Sewa is a black woman struggling to get over her ex-girlfriend. Through her monologue we experience the emotional rollercoaster of a first break up.,['en'],"[{'id': 4133404, 'name': 'Mariam Alaga', 'character': '', 'popularity': 0.0071, 'order': 0}, {'id': 4133405, 'name': 'Cami', 'character': '', 'popularity': 0.0143, 'order': 1}]"
1145164,,"The two-part feature film 'Masquerades of Research: Part I and II' is a fictional biography of pre-queer sociologist Laud Humphreys, author of the infamous book 'Tearoom Trade: Impersonal Sex in Public Places' (1970, 1975). Part I begins in St. Louis in 1967 in a pre-Stonewall and pre-Watergate USA, exploring the impetus behind Humphreys “Sociologist as Voyeur” research method — a still radical gesture and one of the first in the Western canon to turn the ethnographic gaze back onto the hypocritical conservative mindset that created it. Why can’t statistics be avant-garde? Part II begins in his Californian office in 1975, where we find Humphreys sweating in a radically different USA on the cusp of republishing 'Tearoom Trade'. Its relevance to contemporary discussions of intimacy, social presentation and data control is delicately carried by visual intensities and rich performances that keep as many secrets as they give away.",['en'],"[{'id': 87908, 'name': ""Mark O'Halloran"", 'character': '', 'popularity': 0.5235, 'order': 0}, {'id': 2224030, 'name': 'Ivan Doan', 'character': '', 'popularity': 0.1329, 'order': 1}, {'id': 142546, 'name': 'Ricky Watson', 'character': '', 'popularity': 0.091, 'order': 2}, {'id': 1206333, 'name': 'Patrick Fitzsymons', 'character': '', 'popularity': 0.5835, 'order': 3}, {'id': 4134048, 'name': 'Sean Lee', 'character': '', 'popularity': 0.0071, 'order': 4}, {'id': 4134049, 'name': 'Ben Plunkett-Reynolds', 'character': '', 'popularity': 0.0743, 'order': 5}, {'id': 3585941, 'name': 'Judith Shoemaker', 'character': '', 'popularity': 0.0143, 'order': 6}]"
1027374,,A Butch / Femme Lesbian love story between two pickpockets.,['en'],[]
1001053,,"In this quirky dark comedy, Eva finally brings the perfect girlfriend home to meet her family. Well, she may have one very slight flaw.",['en'],[]
1162249,,Documentary short film on the experience of a trans young person in Dublin Ireland.,[],"[{'id': 4280979, 'name': 'Flo Davis', 'character': '', 'popularity': 0.0, 'order': 0}]"
1002579,,"While playing the classical rivals Harlequin and Pierrot in the main play, the two actors Tetra and Lester live a secret love outside the theatre.",['pt'],"[{'id': 4498734, 'name': 'Igor Blundi', 'character': 'Pierrot/Lester', 'popularity': 0.0071, 'order': 0}, {'id': 1178191, 'name': 'Rodrigo Andreatto', 'character': 'Arlequim/Tetra', 'popularity': 0.0071, 'order': 1}, {'id': 4498786, 'name': ""Letícia D' Elboux"", 'character': 'Isabella/Flávia', 'popularity': 0.0, 'order': 2}, {'id': 4433259, 'name': 'Lucca Vendramel', 'character': 'Ajudante 1', 'popularity': 0.0, 'order': 3}]"
826553,,"In an arranged marriage, on their wedding day, the groom comes out to his would be bride that he secretly crossdresses.","['bn', 'en']","[{'id': 3166086, 'name': 'Atif Ally Dagman', 'character': 'Man', 'popularity': 0.0, 'order': 0}, {'id': 3042763, 'name': 'Kankana Chakraborty', 'character': 'Wife', 'popularity': 0.0532, 'order': 1}]"
978482,,"Two gay, immigrant men set out to reconcile their issues while roaming around the dark streets of Lisbon. While reminiscing their time together, they think back to an awkward encounter regarding confrontation of their sexuality at a Fado bar.",['pt'],[]
986428,"What happens when you find your community, your tribe?","Through various voices this film explores the experiences of some LGBT people in Cork in the 1970s and 1980s - the community spaces, parties, pubs, clubs and political activism.",[],[]
872774,,"2D Joan’s Immaculate Hair, Nails and Beauty salon hosts contemporary and historical figures of gender non-conformity, plus a televised CGI mythological baby.",['en'],[]
855723,,A moving and poetic transgender documentary film that tells the story of a gondola and its gondolier navigating through the canals of Venice. The gondolier's journey is a metaphorical passage .,[],[]
743339,,"The story of young Irish transgender couple, (both 21-years-old) Max and Victoria, the obstacles they face, and the challenges they undertake, as they forge their own identities. As they grow up as their true selves, we watch the people around them adapt. Their parents are open about the fact that they have struggled with their children’s transition. Neither sensationalist, nor ordinary, Tras is an honest work that focuses on one of the smallest and most marginalised minorities in Irish society and allows them to flourish and be themselves.",[],[]
590280,,"Compiled from a short Science Fiction docu-series. What if AIDS never happened and a generation lived to change the world? A queer utopia named Stonewall Nation is founded by a generation of activist and artists. Featuring survivor interviews, filmed in real-life events and exploring actual historical events and figures.",[],[]
332671,,"Eva, a resilient and alluring young woman jockey, infiltrates the stables of Pope Healy, a wealthy racing magnate. Determined to get revenge on behalf of her late father, her plan is thrown into chaos when she falls for Pope's wayward son. Is Eva ruthless enough to kill Pope and bring down his empire or will she give up revenge for love?",[],"[{'id': 3400387, 'name': 'Mikey Aldridge', 'character': 'Barman', 'popularity': 0.0, 'order': 0}, {'id': 1625514, 'name': 'Claire Blennerhassett', 'character': 'Shana', 'popularity': 0.0683, 'order': 1}, {'id': 3398575, 'name': 'Jill Bradbury', 'character': 'Diane', 'popularity': 0.0, 'order': 2}, {'id': 3368449, 'name': 'Caolan Dundon', 'character': 'Numbers', 'popularity': 0.0, 'order': 3}]"
649583,,"Based on Eimear Ryan’s essay ‘The Fear of Winning’, three successful female athletes explore how being physically courageous, unapologetically competitive and deeply passionate in team sport can unlock a freedom to really occupy your own skin.",['en'],"[{'id': 2876049, 'name': 'Rianna Jarrett', 'character': 'Herself', 'popularity': 0.0, 'order': 0}, {'id': 2876051, 'name': 'Elise O’Byrne-White', 'character': 'Herself', 'popularity': 0.0, 'order': 1}, {'id': 2876052, 'name': 'Eimear Ryan', 'character': 'Herself', 'popularity': 0.0, 'order': 2}]"
649581,,"Oona Doherty is a Belfast-based dancer and choreographer. She is bold, complex, arresting and ambitious. This innovative, poetic and visually arresting documentary is a portrait of Oona and the creative process of her award-winning show Hope Hunt.",[],[]
649582,,Two sisters talk on the phone about an upcoming birthday; tempers flare as promises are broken. Secrets are revealed and tears are shed. Both women eventually realise that shame is one thing they can’t afford if they’re going to survive.,[],"[{'id': 1647427, 'name': 'Charleigh Bailey', 'character': 'Caitlin', 'popularity': 0.0568, 'order': 0}, {'id': 1437725, 'name': 'Jordanne Jones', 'character': 'Denise', 'popularity': 0.1277, 'order': 1}]"
617260,,Becoming Cherrie is a short documentary about living with HIV in conservative Northern Irish society,[],[]
611190,,"The second of Zhang Yang's Dali Documentary Trilogy. An orchestra of sound and images of Dali, a symbolic city of romance and art. It includes various sounds including those of nature and human, of different seasons, arts, and all kinds of voice in Dali. There is daring inclusion of the religious voices. The crew filmed in Dali for an entire year. It takes people to a harmonious and peaceful journey. By capturing the voice and lyrics from locals and natures, it composes the symphony of Dali. The directors give a poetic demonstration of the spirit of Dali and presents the melodies of the city’s four seasons through the lens. It is also wonderful to see the change of the clouds in four seasons.",['zh'],[]
708450,,"It was almost the college entrance exam. Students were cramming til night at school. Zi-Fan, the president of student union, like every model student, he was working on tests while listening to a strange cassette. On the other hand, Zi-Fan's crush, Jie kept sneaking on Zi-Fan without letting him notice. When Zi-Fan saw Jie left the classroom, he followed his steps to the corridor and accidentally bumped into the candidate for the next president campaign. With the power of the magical cassette, Zi-Fan read the broken heart from a victim of domestic violence on this second-grader. The unbearable scream of agony reminded him of how he escape his bullied life by listening to others through the cassette. Zi-Fan ran away to the washroom where he recognized as a safe haven. With panic filled in his mind, he met Jie where he used to spent his darkest moments alone. Sensing his fear, Jie held Zi-Fan's hands and invited him to listen to his heart...",['zh'],"[{'id': 4388704, 'name': 'Aiden Yan', 'character': 'Zi-Fan Lu', 'popularity': 0.0071, 'order': 0}, {'id': 4388705, 'name': 'Chin-Te Ou', 'character': 'Jie Li', 'popularity': 0.0, 'order': 1}, {'id': 4388708, 'name': 'Jheng-Sian Bo,Jhang', 'character': 'Jhao Ye', 'popularity': 0.0, 'order': 2}]"
649589,,"In 1946, a young forester was dispatched to the north of Finland to find trees large enough to serve as electricity poles in Ireland. The only surviving record of his hazardous mission are a few telegrams he sent to the home front. Directors Feargal Ward and Adrian Duncan literally follow in his footsteps in this tough trek through the subarctic wilderness, captured in dreamlike, hallucinatory scenes. The fantastic soundscape with high-pitched, sparse tones only intensifies the sense of desolation and mystery.",[],[]
573441,,"After scuttling her career as a singer, Jewell Stone lives in Paris a job as a waitress. Marie, her grandmother and only family, who lives in Vermont, USA, arrives overnight to see her. But how to welcome her when Jewell tells her so long about her life, her work and her loves? From one letter to another, she has invented a career that works, a life with Paul, and even a girl, Ruby. But as an Italian proverb says, lies have short legs.",[],"[{'id': 143595, 'name': 'Monia Chokri', 'character': 'Jewell Stone', 'popularity': 0.7244, 'order': 0}, {'id': 79033, 'name': 'Jérémie Elkaïm', 'character': 'Paul', 'popularity': 0.4868, 'order': 1}, {'id': 58068, 'name': 'Fionnula Flanagan', 'character': 'Marie', 'popularity': 1.5852, 'order': 2}, {'id': 25282, 'name': 'Marthe Keller', 'character': 'Louise', 'popularity': 1.2181, 'order': 3}, {'id': 13609, 'name': 'Alex Descas', 'character': 'Juan', 'popularity': 0.7525, 'order': 4}, {'id': 927769, 'name': 'Magne-Håvard Brekke', 'character': 'Dimi', 'popularity': 0.3185, 'order': 5}, {'id': 576402, 'name': 'Géraldine Martineau', 'character': 'Henriette', 'popularity': 0.5652, 'order': 6}, {'id': 239639, 'name': 'Marc Citti', 'character': 'Gus', 'popularity': 0.315, 'order': 7}, {'id': 2487503, 'name': 'Cédric Martin', 'character': 'Client bar (uncredited)', 'popularity': 0.0143, 'order': 8}]"
584110,,"Dan and Baz are looking for kicks on their last day of school. Cork medical students Jack and Sean arrive to find their way among Ireland's affluent youth, and songwriter Fi struggles to break through on the cutthroat Dublin music scene.",[],"[{'id': 4705300, 'name': 'Clodagh Mooney Duggan', 'character': 'Tina', 'popularity': 0.0658, 'order': 0}, {'id': 2712129, 'name': 'Eoin Halpin', 'character': 'Ross', 'popularity': 0.0614, 'order': 1}]"
649590,,"Floating Structures follows a researcher travelling across central and southern Europe seeking out an array of buildings and structures that seem as though they have emerged from another world. Our mysterious guide, drawing on the ideas and visions of the great Irish engineer Peter Rice, explores the hinterlands that surround and gave rise to these structures. It is a rail trip of revelation that wanders from the quiet Bavarian town of Haßfurt, to the inner and outer realms of Paris, to the Andalusian city of Seville. Suspended artefacts and ruins from the distant future and the industrial past are sifted through and interlinked with precision and wonder.",[],[]
567819,,Documentary about how the Irish remember those who fought in the 1916 Easter Rising and the ensuing civil war.,['en'],"[{'id': 2402316, 'name': 'Nuala O’Connor', 'character': '', 'popularity': 0.0, 'order': 0}, {'id': 11831, 'name': 'Mary Black', 'character': '', 'popularity': 0.8133, 'order': 1}, {'id': 49735, 'name': 'Aidan Gillen', 'character': '', 'popularity': 5.4466, 'order': 2}, {'id': 1392739, 'name': 'Philip King', 'character': '', 'popularity': 0.0071, 'order': 3}, {'id': 2402317, 'name': 'Aine Lawlor', 'character': '', 'popularity': 0.0071, 'order': 4}, {'id': 2402319, 'name': 'Dermot McLoughlin', 'character': '', 'popularity': 0.0143, 'order': 5}, {'id': 2402320, 'name': 'Aisling Ni Shúilleabháin', 'character': '', 'popularity': 0.0071, 'order': 6}, {'id': 2402321, 'name': ""Joseph O'Connor"", 'character': '', 'popularity': 0.0071, 'order': 7}, {'id': 2402322, 'name': ""Olivia O'Leary"", 'character': '', 'popularity': 0.0071, 'order': 8}, {'id': 1544914, 'name': ""Iarla O'Lionaird"", 'character': '', 'popularity': 0.0297, 'order': 9}, {'id': 2402323, 'name': 'Marian Richardson', 'character': '', 'popularity': 0.0643, 'order': 10}]"
536105,,"Máirín deBurca has lived a life shaped, but never governed, by external events. A key element of her personal life is the capacity to question and a willingness to switch tack if the answers she finds require it. This is the dynamic that roused her interest in the struggle for Ireland’s independence and then propelled her towards pacifism. It sparked her deep thirst for social justice, which eventually concluded in her exit from the world of politics.",[],"[{'id': 3923957, 'name': 'Máirín Deburca', 'character': '', 'popularity': 0.0, 'order': 0}]"
567807,,Follows Irish champion boxer Katie Taylor as she tries to rekindle her career after a year of setbacks.,['en'],"[{'id': 2193111, 'name': 'Katie Taylor', 'character': 'Self', 'popularity': 0.1185, 'order': 0}, {'id': 2949737, 'name': 'Peter Taylor', 'character': 'Self', 'popularity': 0.0627, 'order': 1}, {'id': 3609288, 'name': 'Eddie Hearn', 'character': 'Self', 'popularity': 0.0687, 'order': 2}]"
1012670,,"Humorous and often poignant accounts of gay bars as important venues for community, organizing, sex, and safety. This film reveals the threat to queer culture of our disappearing social spaces.",['en'],[]
591285,,"A recessionary tapestry of the rural communities of Gort and Crusheen in the west of Ireland. A newly-built motorway carves through their land, causing the areas' inhabitants to reflect on the misuse of natural resources, the value of memory, and the impermanence of their own existence.","['en', 'ga']",[]
546862,"Envoirnmental, Cultural, Ancient Traditions",A film about one man's journey through life which underpins a search to reconnect with nature and culture as primary sources from which we learn a deeper understanding of ourselves and our surroundings.,['en'],[]
511380,,"Roxana is about to leave Romania and settle down in Madrid, Spain. Helped by Dan and his wife, Alina, she will soon find a job there and start a new life.","['es', 'ro']","[{'id': 931464, 'name': 'Olimpia Melinte', 'character': '', 'popularity': 0.2709, 'order': 0}, {'id': 931367, 'name': 'Bogdan Dumitrache', 'character': '', 'popularity': 0.2005, 'order': 1}, {'id': 1681281, 'name': 'Marin Grigore', 'character': '', 'popularity': 0.1806, 'order': 2}, {'id': 2033773, 'name': 'Aurora Paunescu', 'character': '', 'popularity': 0.0071, 'order': 3}]"
539030,,The journey of a gay African refugee seeking asylum in Germany.,['en'],[]
