film_slug,film_id,title,genre_1,genre_2,genre_3,genre_4,genre_5
the-drama,,The Drama,Romance,Drama,Comedy,,
send-help,,Send Help,Thriller,Horror,Comedy,,
28-years-later-the-bone-temple,,28 Years Later: The Bone Temple,Horror,Science Fiction,Thriller,,
avatar-fire-and-ash,,Avatar: Fire and Ash,Adventure,Fantasy,Science Fiction,,
marty-supreme,,Marty Supreme,Thriller,Drama,,,
primate-2025,,Primate,Horror,Thriller,,,
one-battle-after-another,,One Battle After Another,Thriller,Comedy,Action,Crime,
bad-apples-2025,,Bad Apples,Thriller,Comedy,,,
wake-up-dead-man,,Wake Up Dead Man,Comedy,Thriller,Mystery,,
steve-2025,,Steve,Drama,,,,
the-smashing-machine-2025,,The Smashing Machine,Drama,Action,History,,
frankenstein-2025,,Frankenstein,Fantasy,Drama,Horror,Science Fiction,
hamnet,,Hamnet,History,Drama,Romance,,
after-the-hunt-2025,,After the Hunt,Drama,,,,
no-other-choice-2025,,No Other Choice,Crime,Comedy,Thriller,,
rose-of-nevada,,Rose of Nevada,Science Fiction,Drama,Mystery,,
bugonia,,Bugonia,Thriller,Science Fiction,Comedy,,
jay-kelly,,Jay Kelly,Drama,Comedy,,,
weapons-2025,,Weapons,Horror,Mystery,,,
the-naked-gun,,The Naked Gun,Action,Comedy,Crime,,
m3gan-20,,M3GAN 2.0,Action,Thriller,Science Fiction,,
28-years-later,,28 Years Later,Science Fiction,Thriller,Horror,,
titan-the-oceangate-submersible-disaster,,Titan: The OceanGate Submersible Disaster,Documentary,Drama,,,
the-mastermind-2025,,The Mastermind,Crime,Drama,,,
fear-street-prom-queen,,Fear Street: Prom Queen,Horror,Mystery,,,
sentimental-value-2025,,Sentimental Value,Drama,,,,
the-history-of-sound,,The History of Sound,Drama,Music,Romance,,
connemara,,Connemara,Drama,,,,
romeria,,Romería,Drama,,,,
eleanor-the-great,,Eleanor the Great,Drama,,,,
it-was-just-an-accident,,It Was Just an Accident,Thriller,Drama,Crime,Mystery,
splitsville,,Splitsville,Comedy,Romance,,,
alpha-2025,,Alpha,Horror,Science Fiction,Drama,,
the-phoenician-scheme,,The Phoenician Scheme,Adventure,Comedy,Crime,,
pillion-2025,,Pillion,Drama,Romance,Comedy,,
die-my-love,,Die My Love,Drama,,,,
eddington,,Eddington,Comedy,Western,Crime,,
bring-her-back,,Bring Her Back,Horror,,,,
final-destination-bloodlines,,Final Destination Bloodlines,Mystery,Horror,,,
mission-impossible-the-final-reckoning,,Mission: Impossible – The Final Reckoning,Action,Adventure,Thriller,,
sinners-2025,,Sinners,Thriller,Action,Horror,,
a-minecraft-movie,,A Minecraft Movie,Adventure,Family,Fantasy,Comedy,
nirvanna-the-band-the-show-the-movie,,Nirvanna the Band the Show the Movie,Comedy,Adventure,Science Fiction,,
mickey-17,,Mickey 17,Comedy,Adventure,Science Fiction,,
the-monkey-2025,,The Monkey,Comedy,Horror,,,
bridget-jones-mad-about-the-boy,,Bridget Jones: Mad About the Boy,Drama,Comedy,Romance,,
lurker-2025,,Lurker,Drama,Thriller,,,
sorry-baby-2025,,"Sorry, Baby",Comedy,Drama,,,
train-dreams,,Train Dreams,Drama,,,,
if-i-had-legs-id-kick-you,,If I Had Legs I'd Kick You,Drama,,,,
a-complete-unknown,,A Complete Unknown,Drama,Music,,,
sonic-the-hedgehog-3,,Sonic the Hedgehog 3,Comedy,Science Fiction,Action,Family,
hot-frosty,,Hot Frosty,Romance,Comedy,,,
nosferatu-2024,,Nosferatu,Fantasy,Horror,,,
wallace-gromit-vengeance-most-fowl,,Wallace & Gromit: Vengeance Most Fowl,Adventure,Comedy,Animation,Family,
wicked-2024,,Wicked,Romance,Drama,Fantasy,,
smile-2-2024,,Smile 2,Mystery,Horror,Music,,
terrifier-3,,Terrifier 3,Horror,,,,
bring-them-down,,Bring Them Down,Drama,Thriller,,,
hard-truths-2024,,Hard Truths,Comedy,Drama,,,
we-live-in-time,,We Live in Time,Drama,Romance,,,
joker-folie-a-deux,,Joker: Folie à Deux,Thriller,Crime,Drama,,
queer-2024,,Queer,Romance,Drama,,,
the-room-next-door-2024,,The Room Next Door,Drama,Comedy,,,
saturday-night-2024,,Saturday Night,Drama,Comedy,,,
better-man-2024,,Better Man,Music,Drama,,,
conclave,,Conclave,Drama,Thriller,,,
nickel-boys,,Nickel Boys,Drama,History,,,
the-crow-2024,,The Crow,Action,Fantasy,Horror,,
alien-romulus,,Alien: Romulus,Science Fiction,Horror,,,
deadpool-wolverine,,Deadpool & Wolverine,Science Fiction,Action,Comedy,,
trap-2024,,Trap,Crime,Thriller,Horror,,
twisters,,Twisters,Thriller,Action,,,
longlegs,,Longlegs,Crime,Horror,Mystery,,
maxxxine,,MaXXXine,Horror,Thriller,,,
flow-2024,,Flow,Family,Fantasy,Animation,Adventure,
anora,,Anora,Drama,Romance,Comedy,,
the-apprentice-2024,,The Apprentice,Comedy,History,Drama,,
the-substance,,The Substance,Horror,Science Fiction,,,
the-surfer-2024,,The Surfer,Thriller,Drama,,,
kinds-of-kindness,,Kinds of Kindness,Comedy,Drama,,,
bird-2024,,Bird,Drama,,,,
megalopolis-2024,,Megalopolis,Drama,Science Fiction,Fantasy,,
furiosa-a-mad-max-saga,,Furiosa: A Mad Max Saga,Science Fiction,Action,Adventure,,
scoop-2024,,Scoop,TV Movie,Drama,,,
challengers,,Challengers,Romance,Drama,,,
godzilla-kong-the-new-empire,,Godzilla × Kong: The New Empire,Science Fiction,Adventure,Action,,
the-idea-of-you-2024,,The Idea of You,Drama,Romance,Comedy,Music,
irish-wish,,Irish Wish,Romance,Fantasy,Comedy,,
brandy-hellville-the-cult-of-fast-fashion,,Brandy Hellville & the Cult of Fast Fashion,Documentary,,,,
ren-faire,,Ren Faire,Documentary,,,,
small-things-like-these,,Small Things Like These,Drama,,,,
crossing-2024,,Crossing,Drama,,,,
madame-web,,Madame Web,Action,Fantasy,,,
dune-part-two,,Dune: Part Two,Adventure,Science Fiction,,,
a-real-pain,,A Real Pain,Comedy,Drama,,,
love-lies-bleeding-2024,,Love Lies Bleeding,Thriller,Crime,Romance,,
kneecap,,Kneecap,Comedy,Drama,Music,,
wonka,,Wonka,Fantasy,Family,Comedy,,
merchant-ivory,,Merchant Ivory,Documentary,,,,
the-iron-claw-2023,,The Iron Claw,History,Drama,,,
the-hunger-games-the-ballad-of-songbirds-snakes,,The Hunger Games: The Ballad of Songbirds & Snakes,Action,Science Fiction,,,
thanksgiving-2023,,Thanksgiving,Mystery,Horror,,,
five-nights-at-freddys,,Five Nights at Freddy's,Horror,Thriller,,,
chicken-run-dawn-of-the-nugget,,Chicken Run: Dawn of the Nugget,Comedy,Adventure,Family,Animation,
the-exorcist-believer,,The Exorcist: Believer,Horror,,,,
saw-x,,Saw X,Horror,Mystery,,,
no-one-will-save-you,,No One Will Save You,Science Fiction,Horror,,,
a-haunting-in-venice,,A Haunting in Venice,Crime,Mystery,Thriller,,
american-fiction,,American Fiction,Comedy,Drama,,,
hit-man-2023,,Hit Man,Comedy,Crime,Romance,,
priscilla,,Priscilla,Drama,Romance,,,
the-killer-2023,,The Killer,Thriller,Crime,,,
maestro-2023,,Maestro,Drama,Music,Romance,,
nyad,,NYAD,Drama,History,,,
poor-things-2023,,Poor Things,Romance,Science Fiction,Comedy,,
the-royal-hotel,,The Royal Hotel,Drama,Thriller,,,
the-wonderful-story-of-henry-sugar,,The Wonderful Story of Henry Sugar,Fantasy,Comedy,,,
all-of-us-strangers,,All of Us Strangers,Drama,Romance,Fantasy,,
saltburn,,Saltburn,Comedy,Drama,Thriller,,
the-holdovers,,The Holdovers,Drama,Comedy,,,
ferrari-2023,,Ferrari,History,Drama,,,
the-bikeriders,,The Bikeriders,Crime,Drama,,,
el-conde,,El Conde,Horror,Comedy,Fantasy,,
retribution-2023,,Retribution,Adventure,Action,Thriller,,
teenage-mutant-ninja-turtles-mutant-mayhem,,Teenage Mutant Ninja Turtles: Mutant Mayhem,Action,Comedy,Animation,Science Fiction,
gran-turismo,,Gran Turismo,Adventure,Action,Drama,,
the-boy-and-the-heron,,The Boy and the Heron,Animation,Fantasy,Drama,,
oppenheimer-2023,,Oppenheimer,Drama,History,,,
barbie,,Barbie,Comedy,Fantasy,Adventure,,
insidious-the-red-door,,Insidious: The Red Door,Horror,Thriller,,,
paradise-2023-1,,Paradise,Science Fiction,Thriller,,,
mission-impossible-dead-reckoning,,Mission: Impossible – Dead Reckoning,Action,Thriller,Adventure,,
black-mirror-demon-79,,Black Mirror: Demon 79,TV Movie,Science Fiction,Horror,Thriller,
black-mirror-mazey-day,,Black Mirror: Mazey Day,Thriller,Science Fiction,Horror,TV Movie,
black-mirror-beyond-the-sea,,Black Mirror: Beyond the Sea,Horror,Science Fiction,Thriller,TV Movie,
black-mirror-loch-henry,,Black Mirror: Loch Henry,TV Movie,Science Fiction,Thriller,Mystery,
black-mirror-joan-is-awful,,Black Mirror: Joan Is Awful,TV Movie,Drama,Thriller,Science Fiction,
they-cloned-tyrone,,They Cloned Tyrone,Comedy,Science Fiction,Mystery,,
the-flash,,The Flash,Adventure,Action,Science Fiction,,
meg-2-the-trench,,Meg 2: The Trench,Action,Horror,Science Fiction,,
spider-man-across-the-spider-verse,,Spider-Man: Across the Spider-Verse,Animation,Science Fiction,Adventure,Action,
la-chimera,,La Chimera,Drama,Comedy,Fantasy,,
perfect-days-2023,,Perfect Days,Drama,,,,
in-our-day,,In Our Day,Drama,,,,
cobweb-2023-1,,Cobweb,Drama,Comedy,,,
the-taste-of-things,,The Taste of Things,Romance,Drama,,,
asteroid-city,,Asteroid City,Drama,Comedy,,,
kidnapped-2023,,Kidnapped,History,Drama,,,
kubi,,Kubi,Action,Drama,Thriller,History,Comedy
fallen-leaves-2023,,Fallen Leaves,Romance,Drama,Comedy,,
the-boogeyman,,The Boogeyman,Horror,,,,
club-zero,,Club Zero,Comedy,Drama,Thriller,,
anatomy-of-a-fall,,Anatomy of a Fall,Crime,Thriller,Mystery,,
killers-of-the-flower-moon,,Killers of the Flower Moon,Crime,History,Drama,,
may-december,,May December,Drama,,,,
the-zone-of-interest,,The Zone of Interest,War,Drama,History,,
how-to-have-sex,,How to Have Sex,Drama,,,,
the-new-boy,,The New Boy,Drama,,,,
monster-2023,,Monster,Thriller,Mystery,Drama,,
strange-way-of-life,,Strange Way of Life,Western,Romance,Drama,,
blood-gold,,Blood & Gold,Drama,Action,War,,
beau-is-afraid,,Beau Is Afraid,Comedy,Fantasy,Adventure,,
the-super-mario-bros-movie,,The Super Mario Bros. Movie,Adventure,Animation,Comedy,Family,Fantasy
clock-2023,,Clock,Thriller,Horror,,,
murder-mystery-2,,Murder Mystery 2,Mystery,Comedy,Crime,,
air-2023,,Air,Drama,History,,,
evil-dead-rise,,Evil Dead Rise,Horror,Thriller,,,
bottoms,,Bottoms,Comedy,,,,
dungeons-dragons-honor-among-thieves,,Dungeons & Dragons: Honor Among Thieves,Fantasy,Adventure,Comedy,,
john-wick-chapter-4,,John Wick: Chapter 4,Crime,Action,Thriller,,
scream-vi,,Scream VI,Crime,Thriller,Horror,,
luther-the-fallen-sun,,Luther: The Fallen Sun,Crime,Thriller,Mystery,,
cocaine-bear,,Cocaine Bear,Crime,Comedy,Thriller,,
orlando-my-political-biography,,"Orlando, My Political Biography",Documentary,,,,
reality-2023,,Reality,Drama,Thriller,,,
blackberry-2023,,BlackBerry,Drama,History,Comedy,,
ant-man-and-the-wasp-quantumania,,Ant-Man and the Wasp: Quantumania,Adventure,Science Fiction,Action,,
knock-at-the-cabin,,Knock at the Cabin,Mystery,Horror,Thriller,,
passages-2023,,Passages,Drama,Romance,,,
rye-lane,,Rye Lane,Comedy,Romance,,,
scrapper-2023,,Scrapper,Comedy,Drama,,,
past-lives,,Past Lives,Drama,Romance,,,
theater-camp-2023,,Theater Camp,Comedy,,,,
polite-society,,Polite Society,Action,Comedy,Drama,,
m3gan,,M3GAN,Science Fiction,Horror,,,
avatar-the-way-of-water,,Avatar: The Way of Water,Science Fiction,Action,Adventure,,
your-christmas-or-mine,,Your Christmas or Mine?,Romance,Comedy,,,
troll-2022,,Troll,Action,Fantasy,Adventure,,
puss-in-boots-the-last-wish,,Puss in Boots: The Last Wish,Animation,Family,Fantasy,Comedy,Adventure
disenchanted,,Disenchanted,Comedy,Fantasy,Family,,
stutz,,Stutz,Documentary,,,,
talk-to-me-2022,,Talk to Me,Fantasy,Horror,,,
black-panther-wakanda-forever,,Black Panther: Wakanda Forever,Science Fiction,Adventure,Action,,
guillermo-del-toros-pinocchio,,Guillermo del Toro's Pinocchio,Drama,Adventure,Animation,Fantasy,
lyle-lyle-crocodile,,"Lyle, Lyle, Crocodile",Comedy,Music,Family,,
halloween-ends,,Halloween Ends,Horror,Thriller,,,
the-estate-2022,,The Estate,Comedy,Drama,,,
roald-dahls-matilda-the-musical,,Roald Dahl's Matilda the Musical,Comedy,Family,Fantasy,,
hocus-pocus-2,,Hocus Pocus 2,Comedy,Fantasy,,,
the-almond-and-the-seahorse,,The Almond and the Seahorse,Drama,Romance,,,
smile-2022,,Smile,Horror,Mystery,,,
amsterdam-2022,,Amsterdam,Mystery,Comedy,Drama,,
do-revenge,,Do Revenge,Thriller,Comedy,Romance,,
sanctuary-2022,,Sanctuary,Thriller,Drama,,,
sick-2022,,Sick,Horror,Mystery,,,
my-policeman,,My Policeman,Drama,Romance,,,
the-good-nurse,,The Good Nurse,Mystery,Crime,Drama,,
catherine-called-birdy,,Catherine Called Birdy,Comedy,Adventure,,,
how-to-blow-up-a-pipeline,,How to Blow Up a Pipeline,Thriller,Crime,Drama,,
causeway,,Causeway,Drama,,,,
the-fabelmans,,The Fabelmans,Drama,,,,
glass-onion,,Glass Onion,Crime,Mystery,Comedy,,
the-menu-2022,,The Menu,Comedy,Horror,,,
allelujah,,Allelujah,Drama,,,,
see-how-they-run-2022,,See How They Run,Comedy,Crime,Mystery,,
bros,,Bros,Comedy,Romance,,,
blonde-2022,,Blonde,Drama,,,,
the-son-2022,,The Son,Drama,,,,
pinocchio-2022,,Pinocchio,Adventure,Fantasy,Family,,
saint-omer,,Saint Omer,Crime,Drama,,,
the-banshees-of-inisherin,,The Banshees of Inisherin,Comedy,Drama,,,
dont-worry-darling,,Don't Worry Darling,Mystery,Science Fiction,Thriller,,
the-whale-2022,,The Whale,Drama,,,,
pearl-2022,,Pearl,Horror,Thriller,,,
the-wonder,,The Wonder,Drama,Mystery,,,
lady-chatterleys-lover-2022,,Lady Chatterley's Lover,Romance,Drama,,,
women-talking,,Women Talking,Drama,,,,
bones-and-all,,Bones and All,Horror,Drama,Romance,,
tar-2022,,TÁR,Music,Drama,,,
blue-jean,,Blue Jean,Drama,,,,
bardo-false-chronicle-of-a-handful-of-truths,,"BARDO, False Chronicle of a Handful of Truths",Drama,Comedy,,,
white-noise-2022,,White Noise,Comedy,Drama,,,
terrifier-2,,Terrifier 2,Horror,,,,
barbarian-2022,,Barbarian,Horror,Mystery,,,
i-came-by,,I Came By,Crime,Thriller,,,
beast-2022-1,,Beast,Action,Horror,Thriller,Adventure,
fall-2022,,Fall,Thriller,,,,
day-shift-2022,,Day Shift,Fantasy,Comedy,Thriller,Horror,Action
medusa-deluxe,,Medusa Deluxe,Comedy,Drama,Thriller,Mystery,
prey-2022,,Prey,Action,Thriller,Science Fiction,,
orphan-first-kill,,Orphan: First Kill,Horror,Thriller,,,
skinamarink,,Skinamarink,Horror,,,,
they-them-2022-1,,They/Them,Horror,Mystery,,,
nope,,Nope,Science Fiction,Horror,,,
mrs-harris-goes-to-paris,,Mrs. Harris Goes to Paris,History,Drama,Comedy,,
the-gray-man-2022,,The Gray Man,Thriller,Action,,,
persuasion-2022,,Persuasion,Drama,Comedy,Romance,,
minions-the-rise-of-gru,,Minions: The Rise of Gru,Science Fiction,Family,Animation,Comedy,Adventure
thor-love-and-thunder,,Thor: Love and Thunder,Action,Fantasy,Comedy,,
spiderhead,,Spiderhead,Thriller,Science Fiction,,,
dragon-ball-super-super-hero,,Dragon Ball Super: Super Hero,Animation,Action,Science Fiction,,
lightyear-2022,,Lightyear,Family,Science Fiction,Adventure,Animation,
blood-in-the-water-2022,,Blood in the Water,Horror,Thriller,,,
hustle-2022,,Hustle,Comedy,Drama,,,
fire-island-2022,,Fire Island,Romance,Comedy,,,
close-2022,,Close,Drama,,,,
elvis-2022,,Elvis,Music,History,Drama,,
decision-to-leave,,Decision to Leave,Mystery,Thriller,Romance,,
jurassic-world-dominion,,Jurassic World Dominion,Thriller,Science Fiction,Adventure,,
crimes-of-the-future-2022,,Crimes of the Future,Horror,Thriller,Science Fiction,,
sick-of-myself,,Sick of Myself,Comedy,Horror,,,
holy-spider,,Holy Spider,Crime,Drama,Thriller,,
aftersun,,Aftersun,Drama,,,,
triangle-of-sadness,,Triangle of Sadness,Drama,Comedy,,,
enys-men,,Enys Men,Drama,Horror,,,
the-stranger-2022,,The Stranger,Thriller,Drama,Crime,,
chip-n-dale-rescue-rangers,,Chip 'n Dale: Rescue Rangers,Mystery,Animation,Comedy,Adventure,Family
men-2022,,Men,Fantasy,Horror,Thriller,,
jackass-45,,Jackass 4.5,Action,Comedy,Documentary,,
eo,,EO,Adventure,Drama,,,
senior-year-2022,,Senior Year,Comedy,,,,
top-gun-maverick,,Top Gun: Maverick,Action,Drama,,,
doctor-strange-in-the-multiverse-of-madness,,Doctor Strange in the Multiverse of Madness,Fantasy,Action,Adventure,,
doctor-who-legend-of-the-sea-devils,,Doctor Who: Legend of the Sea Devils,Drama,Science Fiction,Adventure,,
sonic-the-hedgehog-2,,Sonic the Hedgehog 2,Adventure,Family,Comedy,Action,
gateways-grind,,Gateways Grind,Documentary,,,,
rrr,,RRR,Adventure,Action,Drama,,
morbius,,Morbius,Science Fiction,Action,Fantasy,,
deep-water-2022,,Deep Water,Drama,Mystery,Thriller,,
bodies-bodies-bodies,,Bodies Bodies Bodies,Comedy,Mystery,Horror,Thriller,
x-2022,,X,Horror,Thriller,,,
