username,film_slug,film_id,rating
jay,the-drama,,4.0
jay,send-help,,2.5
jay,28-years-later-the-bone-temple,,3.5
jay,avatar-fire-and-ash,,3.0
jay,marty-supreme,,4.0
jay,primate-2025,,2.0
jay,one-battle-after-another,,4.0
jay,bad-apples-2025,,4.0
jay,wake-up-dead-man,,3.0
jay,steve-2025,,3.0
jay,the-smashing-machine-2025,,3.0
jay,frankenstein-2025,,2.5
jay,hamnet,,2.0
jay,after-the-hunt-2025,,3.5
jay,no-other-choice-2025,,4.0
jay,rose-of-nevada,,4.5
jay,bugonia,,3.5
jay,jay-kelly,,3.5
jay,weapons-2025,,3.0
jay,the-naked-gun,,3.0
jay,m3gan-20,,2.5
jay,28-years-later,,3.5
jay,titan-the-oceangate-submersible-disaster,,2.5
jay,the-mastermind-2025,,4.0
jay,fear-street-prom-queen,,1.5
jay,sentimental-value-2025,,4.0
jay,the-history-of-sound,,2.5
jay,connemara,,1.0
jay,romeria,,3.0
jay,eleanor-the-great,,2.5
jay,it-was-just-an-accident,,4.0
jay,splitsville,,1.5
jay,alpha-2025,,4.0
jay,the-phoenician-scheme,,3.5
jay,pillion-2025,,4.0
jay,die-my-love,,4.0
jay,eddington,,2.5
jay,bring-her-back,,4.0
jay,final-destination-bloodlines,,3.5
jay,mission-impossible-the-final-reckoning,,3.0
jay,sinners-2025,,3.5
jay,a-minecraft-movie,,1.0
jay,nirvanna-the-band-the-show-the-movie,,3.5
jay,mickey-17,,3.0
jay,the-monkey-2025,,1.0
jay,bridget-jones-mad-about-the-boy,,3.5
jay,lurker-2025,,3.5
jay,sorry-baby-2025,,4.0
jay,train-dreams,,4.0
jay,if-i-had-legs-id-kick-you,,4.0
jay,a-complete-unknown,,3.5
jay,sonic-the-hedgehog-3,,3.0
jay,hot-frosty,,1.5
jay,nosferatu-2024,,3.0
jay,wallace-gromit-vengeance-most-fowl,,4.0
jay,wicked-2024,,3.0
jay,smile-2-2024,,3.0
jay,terrifier-3,,2.0
jay,bring-them-down,,3.5
jay,hard-truths-2024,,4.0
jay,we-live-in-time,,3.0
jay,joker-folie-a-deux,,2.0
jay,queer-2024,,4.0
jay,the-room-next-door-2024,,4.0
jay,saturday-night-2024,,2.5
jay,better-man-2024,,4.0
jay,conclave,,3.5
jay,nickel-boys,,4.0
jay,the-crow-2024,,1.0
jay,alien-romulus,,2.5
jay,deadpool-wolverine,,2.0
jay,trap-2024,,3.5
jay,twisters,,3.0
jay,longlegs,,3.0
jay,maxxxine,,2.0
jay,flow-2024,,3.5
jay,anora,,3.5
jay,the-apprentice-2024,,3.5
jay,the-substance,,3.5
jay,the-surfer-2024,,3.5
jay,kinds-of-kindness,,3.5
jay,bird-2024,,3.0
jay,megalopolis-2024,,2.0
jay,furiosa-a-mad-max-saga,,4.0
jay,scoop-2024,,2.0
jay,challengers,,4.0
jay,godzilla-kong-the-new-empire,,2.0
jay,the-idea-of-you-2024,,2.5
jay,irish-wish,,1.5
jay,brandy-hellville-the-cult-of-fast-fashion,,1.5
jay,ren-faire,,4.0
jay,small-things-like-these,,3.5
jay,crossing-2024,,3.5
jay,madame-web,,1.0
jay,dune-part-two,,4.0
jay,a-real-pain,,3.5
jay,love-lies-bleeding-2024,,4.0
jay,kneecap,,4.0
jay,wonka,,3.0
jay,merchant-ivory,,2.5
jay,the-iron-claw-2023,,3.5
jay,the-hunger-games-the-ballad-of-songbirds-snakes,,3.0
jay,thanksgiving-2023,,3.0
jay,five-nights-at-freddys,,2.0
jay,chicken-run-dawn-of-the-nugget,,2.5
jay,the-exorcist-believer,,1.5
jay,saw-x,,3.5
jay,no-one-will-save-you,,2.0
jay,a-haunting-in-venice,,2.5
jay,american-fiction,,2.5
jay,hit-man-2023,,3.0
jay,priscilla,,3.5
jay,the-killer-2023,,3.5
jay,maestro-2023,,3.0
jay,nyad,,2.0
jay,poor-things-2023,,4.0
jay,the-royal-hotel,,3.0
jay,the-wonderful-story-of-henry-sugar,,2.5
jay,all-of-us-strangers,,3.5
jay,saltburn,,3.0
jay,the-holdovers,,4.5
jay,ferrari-2023,,2.5
jay,the-bikeriders,,3.5
jay,el-conde,,2.5
jay,retribution-2023,,1.5
jay,teenage-mutant-ninja-turtles-mutant-mayhem,,3.5
jay,gran-turismo,,2.5
jay,the-boy-and-the-heron,,3.5
jay,oppenheimer-2023,,4.5
jay,barbie,,3.5
jay,insidious-the-red-door,,2.5
jay,paradise-2023-1,,2.5
jay,mission-impossible-dead-reckoning,,3.5
jay,black-mirror-demon-79,,3.5
jay,black-mirror-mazey-day,,1.5
jay,black-mirror-beyond-the-sea,,3.0
jay,black-mirror-loch-henry,,3.0
jay,black-mirror-joan-is-awful,,2.0
jay,they-cloned-tyrone,,3.5
jay,the-flash,,1.5
jay,meg-2-the-trench,,1.0
jay,spider-man-across-the-spider-verse,,3.0
jay,la-chimera,,4.0
jay,perfect-days-2023,,4.0
jay,in-our-day,,3.0
jay,cobweb-2023-1,,3.5
jay,the-taste-of-things,,4.5
jay,asteroid-city,,3.5
jay,kidnapped-2023,,2.5
jay,kubi,,3.0
jay,fallen-leaves-2023,,4.0
jay,the-boogeyman,,2.5
jay,club-zero,,2.0
jay,anatomy-of-a-fall,,4.0
jay,killers-of-the-flower-moon,,4.0
jay,may-december,,4.0
jay,the-zone-of-interest,,4.0
jay,how-to-have-sex,,4.0
jay,the-new-boy,,3.0
jay,monster-2023,,4.0
jay,strange-way-of-life,,2.5
jay,blood-gold,,2.5
jay,beau-is-afraid,,3.5
jay,the-super-mario-bros-movie,,3.0
jay,clock-2023,,2.5
jay,murder-mystery-2,,1.5
jay,air-2023,,3.5
jay,evil-dead-rise,,3.5
jay,bottoms,,3.0
jay,dungeons-dragons-honor-among-thieves,,3.0
jay,john-wick-chapter-4,,4.0
jay,scream-vi,,3.5
jay,luther-the-fallen-sun,,2.5
jay,cocaine-bear,,1.5
jay,orlando-my-political-biography,,3.0
jay,reality-2023,,3.5
jay,blackberry-2023,,4.0
jay,ant-man-and-the-wasp-quantumania,,1.5
jay,knock-at-the-cabin,,2.5
jay,passages-2023,,3.5
jay,rye-lane,,3.5
jay,scrapper-2023,,4.0
jay,past-lives,,4.0
jay,theater-camp-2023,,3.0
jay,polite-society,,2.5
jay,m3gan,,2.5
jay,avatar-the-way-of-water,,4.0
jay,your-christmas-or-mine,,2.5
jay,troll-2022,,2.0
jay,puss-in-boots-the-last-wish,,4.0
jay,disenchanted,,1.5
jay,stutz,,3.5
jay,talk-to-me-2022,,3.5
jay,black-panther-wakanda-forever,,3.0
jay,guillermo-del-toros-pinocchio,,4.0
jay,lyle-lyle-crocodile,,2.0
jay,halloween-ends,,2.5
jay,the-estate-2022,,0.5
jay,roald-dahls-matilda-the-musical,,3.0
jay,hocus-pocus-2,,2.5
jay,the-almond-and-the-seahorse,,1.5
jay,smile-2022,,1.0
jay,amsterdam-2022,,1.5
jay,do-revenge,,2.5
jay,sanctuary-2022,,3.5
jay,sick-2022,,3.5
jay,my-policeman,,3.0
jay,the-good-nurse,,3.0
jay,catherine-called-birdy,,3.0
jay,how-to-blow-up-a-pipeline,,4.0
jay,causeway,,3.5
jay,the-fabelmans,,3.5
jay,glass-onion,,2.5
jay,the-menu-2022,,2.0
jay,allelujah,,1.5
jay,see-how-they-run-2022,,2.5
jay,bros,,1.5
jay,blonde-2022,,2.0
jay,the-son-2022,,2.0
jay,pinocchio-2022,,1.5
jay,saint-omer,,3.0
jay,the-banshees-of-inisherin,,4.0
jay,dont-worry-darling,,2.0
jay,the-whale-2022,,3.0
jay,pearl-2022,,3.5
jay,the-wonder,,3.0
jay,lady-chatterleys-lover-2022,,4.0
jay,women-talking,,3.5
jay,bones-and-all,,4.0
jay,tar-2022,,5.0
jay,blue-jean,,4.5
jay,bardo-false-chronicle-of-a-handful-of-truths,,2.5
jay,white-noise-2022,,3.0
jay,terrifier-2,,3.0
jay,barbarian-2022,,3.0
jay,i-came-by,,2.0
jay,beast-2022-1,,2.0
jay,fall-2022,,3.0
jay,day-shift-2022,,2.5
jay,medusa-deluxe,,4.0
jay,prey-2022,,3.5
jay,orphan-first-kill,,3.5
jay,skinamarink,,3.0
jay,they-them-2022-1,,1.5
jay,nope,,3.5
jay,mrs-harris-goes-to-paris,,3.5
jay,the-gray-man-2022,,2.0
jay,persuasion-2022,,1.5
jay,minions-the-rise-of-gru,,3.0
jay,thor-love-and-thunder,,1.5
jay,spiderhead,,2.0
jay,dragon-ball-super-super-hero,,3.0
jay,lightyear-2022,,2.5
jay,blood-in-the-water-2022,,1.0
jay,hustle-2022,,3.0
jay,fire-island-2022,,3.0
jay,close-2022,,3.5
jay,elvis-2022,,4.0
jay,decision-to-leave,,3.5
jay,jurassic-world-dominion,,1.5
jay,crimes-of-the-future-2022,,3.0
jay,sick-of-myself,,4.0
jay,holy-spider,,3.0
jay,aftersun,,4.5
jay,triangle-of-sadness,,2.5
jay,enys-men,,4.0
jay,the-stranger-2022,,3.5
jay,chip-n-dale-rescue-rangers,,3.0
jay,men-2022,,2.5
jay,jackass-45,,3.5
jay,eo,,4.0
jay,senior-year-2022,,2.0
jay,top-gun-maverick,,4.0
jay,doctor-strange-in-the-multiverse-of-madness,,2.5
jay,doctor-who-legend-of-the-sea-devils,,1.0
jay,sonic-the-hedgehog-2,,2.5
jay,gateways-grind,,3.5
jay,rrr,,4.0
jay,morbius,,0.5
jay,deep-water-2022,,2.5
jay,bodies-bodies-bodies,,3.0
jay,x-2022,,3.0
jay,the-unbearable-weight-of-massive-talent,,2.0
jay,everything-everywhere-all-at-once,,3.0
jay,windfall,,2.0
jay,the-adam-project,,2.0
jay,turning-red,,3.0
jay,texas-chainsaw-massacre,,1.5
jay,tall-girl-2,,1.0
jay,death-on-the-nile-2022,,2.0
jay,the-tinder-swindler,,3.0
jay,marry-me-2022,,3.0
jay,jackass-forever,,4.0
jay,emily-the-criminal,,3.5
jay,am-i-ok,,1.5
jay,cha-cha-real-smooth,,3.5
jay,alice-2022,,2.0
jay,sharp-stick,,2.5
jay,living-2022,,3.5
jay,fire-of-love-2022,,3.5
jay,fresh-2022,,3.0
jay,the-princess-2022,,2.5
jay,scream-2022,,3.0
jay,death-to-2021,,0.5
jay,the-matrix-resurrections,,4.0
jay,spider-man-no-way-home,,3.0
jay,dont-look-up-2021,,2.0
jay,nightmare-alley-2021,,3.5
jay,west-side-story-2021,,3.5
jay,licorice-pizza,,4.0
jay,tick-tick-boom-2021,,3.0
jay,house-of-gucci,,2.0
jay,millie-lies-low,,3.5
jay,love-hard,,2.0
jay,eternals,,2.5
jay,encanto,,2.5
jay,the-harder-they-fall-2021,,3.5
jay,diana-the-musical,,1.5
jay,no-time-to-die-2021,,3.0
jay,the-black-phone,,3.0
jay,the-tragedy-of-macbeth,,3.5
jay,venom-let-there-be-carnage,,2.5
jay,the-humans,,3.5
jay,the-last-duel-2021,,3.5
jay,the-guilty-2021,,2.5
jay,halloween-kills,,2.0
jay,official-competition,,4.0
jay,last-night-in-soho,,2.0
jay,marcel-the-shell-with-shoes-on-2021,,4.0
jay,the-lost-daughter-2021,,3.5
jay,spencer-2021,,4.5
jay,cinderella-2021,,0.5
jay,dune-2021,,4.0
jay,king-richard,,2.5
jay,cmon-cmon,,4.0
jay,the-power-of-the-dog,,4.0
jay,malignant-2021,,4.0
jay,hes-all-that,,0.5
jay,ghostbusters-afterlife,,1.5
jay,candyman-2021,,3.0
jay,shang-chi-and-the-legend-of-the-ten-rings,,3.0
jay,the-kissing-booth-3,,0.5
jay,she-will,,2.5
jay,free-guy,,2.0
jay,the-suicide-squad,,3.0
jay,old-2021,,1.5
jay,red-rocket-2021,,4.0
jay,fear-street-1666,,2.5
jay,lamb-2021,,3.0
jay,titane,,4.5
jay,pig-2021,,3.5
jay,bergman-island-2021,,3.5
jay,the-french-dispatch-of-the-liberty-kansas,,3.5
jay,drive-my-car,,4.0
jay,benedetta,,4.0
jay,after-yang,,4.0
jay,the-worst-person-in-the-world,,4.5
jay,cow-2021,,3.5
jay,the-souvenir-part-ii,,2.5
jay,fear-street-1978,,3.5
jay,the-velvet-underground-2021,,3.5
jay,space-jam-a-new-legacy,,1.0
