username,movie_title,film_slug,film_id,rating,genre_1,genre_2,genre_3,genre_4,genre_5
jay,The Drama,the-drama,,4.0,Romance,Drama,Comedy,,
jay,Send Help,send-help,,2.5,Thriller,Horror,Comedy,,
jay,28 Years Later: The Bone Temple,28-years-later-the-bone-temple,,3.5,Horror,Science Fiction,Thriller,,
jay,Avatar: Fire and Ash,avatar-fire-and-ash,,3.0,Adventure,Fantasy,Science Fiction,,
jay,Marty Supreme,marty-supreme,,4.0,Thriller,Drama,,,
jay,Primate,primate-2025,,2.0,Horror,Thriller,,,
jay,One Battle After Another,one-battle-after-another,,4.0,Thriller,Comedy,Action,Crime,
jay,Bad Apples,bad-apples-2025,,4.0,Thriller,Comedy,,,
jay,Wake Up Dead Man,wake-up-dead-man,,3.0,Comedy,Thriller,Mystery,,
jay,Steve,steve-2025,,3.0,Drama,,,,
jay,The Smashing Machine,the-smashing-machine-2025,,3.0,Drama,Action,History,,
jay,Frankenstein,frankenstein-2025,,2.5,Fantasy,Drama,Horror,Science Fiction,
jay,Hamnet,hamnet,,2.0,History,Drama,Romance,,
jay,After the Hunt,after-the-hunt-2025,,3.5,Drama,,,,
jay,No Other Choice,no-other-choice-2025,,4.0,Crime,Comedy,Thriller,,
jay,Rose of Nevada,rose-of-nevada,,4.5,Science Fiction,Drama,Mystery,,
jay,Bugonia,bugonia,,3.5,Thriller,Science Fiction,Comedy,,
jay,Jay Kelly,jay-kelly,,3.5,Drama,Comedy,,,
jay,Weapons,weapons-2025,,3.0,Horror,Mystery,,,
jay,The Naked Gun,the-naked-gun,,3.0,Action,Comedy,Crime,,
jay,M3GAN 2.0,m3gan-20,,2.5,Action,Thriller,Science Fiction,,
jay,28 Years Later,28-years-later,,3.5,Science Fiction,Thriller,Horror,,
jay,Titan: The OceanGate Submersible Disaster,titan-the-oceangate-submersible-disaster,,2.5,Documentary,Drama,,,
jay,The Mastermind,the-mastermind-2025,,4.0,Crime,Drama,,,
jay,Fear Street: Prom Queen,fear-street-prom-queen,,1.5,Horror,Mystery,,,
jay,Sentimental Value,sentimental-value-2025,,4.0,Drama,,,,
jay,The History of Sound,the-history-of-sound,,2.5,Drama,Music,Romance,,
jay,Connemara,connemara,,1.0,Drama,,,,
jay,Romería,romeria,,3.0,Drama,,,,
jay,Eleanor the Great,eleanor-the-great,,2.5,Drama,,,,
jay,It Was Just an Accident,it-was-just-an-accident,,4.0,Thriller,Drama,Crime,Mystery,
jay,Splitsville,splitsville,,1.5,Comedy,Romance,,,
jay,Alpha,alpha-2025,,4.0,Horror,Science Fiction,Drama,,
jay,The Phoenician Scheme,the-phoenician-scheme,,3.5,Adventure,Comedy,Crime,,
jay,Pillion,pillion-2025,,4.0,Drama,Romance,Comedy,,
jay,Die My Love,die-my-love,,4.0,Drama,,,,
jay,Eddington,eddington,,2.5,Comedy,Western,Crime,,
jay,Bring Her Back,bring-her-back,,4.0,Horror,,,,
jay,Final Destination Bloodlines,final-destination-bloodlines,,3.5,Mystery,Horror,,,
jay,Mission: Impossible – The Final Reckoning,mission-impossible-the-final-reckoning,,3.0,Action,Adventure,Thriller,,
jay,Sinners,sinners-2025,,3.5,Thriller,Action,Horror,,
jay,A Minecraft Movie,a-minecraft-movie,,1.0,Adventure,Family,Fantasy,Comedy,
jay,Nirvanna the Band the Show the Movie,nirvanna-the-band-the-show-the-movie,,3.5,Comedy,Adventure,Science Fiction,,
jay,Mickey 17,mickey-17,,3.0,Comedy,Adventure,Science Fiction,,
jay,The Monkey,the-monkey-2025,,1.0,Comedy,Horror,,,
jay,Bridget Jones: Mad About the Boy,bridget-jones-mad-about-the-boy,,3.5,Drama,Comedy,Romance,,
jay,Lurker,lurker-2025,,3.5,Drama,Thriller,,,
jay,"Sorry, Baby",sorry-baby-2025,,4.0,Comedy,Drama,,,
jay,Train Dreams,train-dreams,,4.0,Drama,,,,
jay,If I Had Legs I'd Kick You,if-i-had-legs-id-kick-you,,4.0,Drama,,,,
jay,A Complete Unknown,a-complete-unknown,,3.5,Drama,Music,,,
jay,Sonic the Hedgehog 3,sonic-the-hedgehog-3,,3.0,Comedy,Science Fiction,Action,Family,
jay,Hot Frosty,hot-frosty,,1.5,Romance,Comedy,,,
jay,Nosferatu,nosferatu-2024,,3.0,Fantasy,Horror,,,
jay,Wallace & Gromit: Vengeance Most Fowl,wallace-gromit-vengeance-most-fowl,,4.0,Adventure,Comedy,Animation,Family,
jay,Wicked,wicked-2024,,3.0,Romance,Drama,Fantasy,,
jay,Smile 2,smile-2-2024,,3.0,Mystery,Horror,Music,,
jay,Terrifier 3,terrifier-3,,2.0,Horror,,,,
jay,Bring Them Down,bring-them-down,,3.5,Drama,Thriller,,,
jay,Hard Truths,hard-truths-2024,,4.0,Comedy,Drama,,,
jay,We Live in Time,we-live-in-time,,3.0,Drama,Romance,,,
jay,Joker: Folie à Deux,joker-folie-a-deux,,2.0,Thriller,Crime,Drama,,
jay,Queer,queer-2024,,4.0,Romance,Drama,,,
jay,The Room Next Door,the-room-next-door-2024,,4.0,Drama,Comedy,,,
jay,Saturday Night,saturday-night-2024,,2.5,Drama,Comedy,,,
jay,Better Man,better-man-2024,,4.0,Music,Drama,,,
jay,Conclave,conclave,,3.5,Drama,Thriller,,,
jay,Nickel Boys,nickel-boys,,4.0,Drama,History,,,
jay,The Crow,the-crow-2024,,1.0,Action,Fantasy,Horror,,
jay,Alien: Romulus,alien-romulus,,2.5,Science Fiction,Horror,,,
jay,Deadpool & Wolverine,deadpool-wolverine,,2.0,Science Fiction,Action,Comedy,,
jay,Trap,trap-2024,,3.5,Crime,Thriller,Horror,,
jay,Twisters,twisters,,3.0,Thriller,Action,,,
jay,Longlegs,longlegs,,3.0,Crime,Horror,Mystery,,
jay,MaXXXine,maxxxine,,2.0,Horror,Thriller,,,
jay,Flow,flow-2024,,3.5,Family,Fantasy,Animation,Adventure,
jay,Anora,anora,,3.5,Drama,Romance,Comedy,,
jay,The Apprentice,the-apprentice-2024,,3.5,Comedy,History,Drama,,
jay,The Substance,the-substance,,3.5,Horror,Science Fiction,,,
jay,The Surfer,the-surfer-2024,,3.5,Thriller,Drama,,,
jay,Kinds of Kindness,kinds-of-kindness,,3.5,Comedy,Drama,,,
jay,Bird,bird-2024,,3.0,Drama,,,,
jay,Megalopolis,megalopolis-2024,,2.0,Drama,Science Fiction,Fantasy,,
jay,Furiosa: A Mad Max Saga,furiosa-a-mad-max-saga,,4.0,Science Fiction,Action,Adventure,,
jay,Scoop,scoop-2024,,2.0,TV Movie,Drama,,,
jay,Challengers,challengers,,4.0,Romance,Drama,,,
jay,Godzilla × Kong: The New Empire,godzilla-kong-the-new-empire,,2.0,Science Fiction,Adventure,Action,,
jay,The Idea of You,the-idea-of-you-2024,,2.5,Drama,Romance,Comedy,Music,
jay,Irish Wish,irish-wish,,1.5,Romance,Fantasy,Comedy,,
jay,Brandy Hellville & the Cult of Fast Fashion,brandy-hellville-the-cult-of-fast-fashion,,1.5,Documentary,,,,
jay,Ren Faire,ren-faire,,4.0,Documentary,,,,
jay,Small Things Like These,small-things-like-these,,3.5,Drama,,,,
jay,Crossing,crossing-2024,,3.5,Drama,,,,
jay,Madame Web,madame-web,,1.0,Action,Fantasy,,,
jay,Dune: Part Two,dune-part-two,,4.0,Adventure,Science Fiction,,,
jay,A Real Pain,a-real-pain,,3.5,Comedy,Drama,,,
jay,Love Lies Bleeding,love-lies-bleeding-2024,,4.0,Thriller,Crime,Romance,,
jay,Kneecap,kneecap,,4.0,Comedy,Drama,Music,,
jay,Wonka,wonka,,3.0,Fantasy,Family,Comedy,,
jay,Merchant Ivory,merchant-ivory,,2.5,Documentary,,,,
jay,The Iron Claw,the-iron-claw-2023,,3.5,History,Drama,,,
jay,The Hunger Games: The Ballad of Songbirds & Snakes,the-hunger-games-the-ballad-of-songbirds-snakes,,3.0,Action,Science Fiction,,,
jay,Thanksgiving,thanksgiving-2023,,3.0,Mystery,Horror,,,
jay,Five Nights at Freddy's,five-nights-at-freddys,,2.0,Horror,Thriller,,,
jay,Chicken Run: Dawn of the Nugget,chicken-run-dawn-of-the-nugget,,2.5,Comedy,Adventure,Family,Animation,
jay,The Exorcist: Believer,the-exorcist-believer,,1.5,Horror,,,,
jay,Saw X,saw-x,,3.5,Horror,Mystery,,,
jay,No One Will Save You,no-one-will-save-you,,2.0,Science Fiction,Horror,,,
jay,A Haunting in Venice,a-haunting-in-venice,,2.5,Crime,Mystery,Thriller,,
jay,American Fiction,american-fiction,,2.5,Comedy,Drama,,,
jay,Hit Man,hit-man-2023,,3.0,Comedy,Crime,Romance,,
jay,Priscilla,priscilla,,3.5,Drama,Romance,,,
jay,The Killer,the-killer-2023,,3.5,Thriller,Crime,,,
